year,ac_no,nota_votes,nota_pct
2021,233,2719,1.31
2021,234,1965,0.79
2021,235,3298,1.43
2021,236,3928,1.64
2021,237,3305,1.75
2021,238,2954,1.23
2021,239,2441,1.23
2021,240,2386,1.16
2021,241,2956,1.46
2021,242,2588,1.25
2021,243,2291,1.07
2021,244,2401,1.23
2021,245,3657,1.88
2021,246,3557,1.66
2021,247,3363,1.66
2021,248,3514,1.79
2021,249,4226,2.0
2021,250,2986,1.54
2021,251,3518,1.73
2021,252,4507,2.07
2021,253,4903,2.23
2021,254,4879,2.16
2021,255,3419,1.79
2021,256,1856,0.83
2021,257,3182,1.46
2021,258,2076,1.0
2021,259,1944,0.89
2021,260,3707,1.81
2021,261,1563,0.68
2021,262,2865,1.39
2021,263,1611,0.77
2021,264,2507,1.2
2021,265,1673,0.76
2021,266,2396,0.99
2021,267,4346,2.03
2021,268,1562,0.73
2021,269,1350,0.64
2021,270,1780,0.79
2021,271,3620,1.68
2021,272,3826,1.76
2021,273,4039,1.86
2021,274,2254,1.01
2021,275,2735,1.66
2021,276,2628,1.36
2021,277,2624,1.33
2021,278,2006,1.1
2021,279,2353,1.41
2021,280,3466,1.78
2021,281,3348,1.74
2021,282,3553,2.03
2021,283,3039,1.8
2021,284,3157,1.54
2021,285,1835,0.84
2021,286,3337,1.45
2021,287,2149,0.91
2021,288,3057,1.44
2021,289,1742,0.79
2021,290,2803,1.41
2021,291,3381,1.56
2021,292,2420,1.15
2021,293,1900,0.91
2021,294,1509,0.69
2026,1,2126,0.97
2026,2,913,0.38
2026,3,1819,0.72
2026,4,1770,0.86
2026,5,1654,0.59
2026,6,1324,0.5
2026,7,1814,0.68
2026,8,1113,0.48
2026,9,1421,0.62
2026,10,2924,1.18
2026,11,1795,0.89
2026,12,2620,1.13
2026,13,1432,0.61
2026,14,1880,1.06
2026,15,1159,0.47
2026,16,2130,0.85
2026,17,2608,1.1
2026,18,1322,0.59
2026,19,1121,0.45
2026,20,3019,1.35
2026,21,2887,1.42
2026,22,2060,1.22
2026,23,2040,1.17
2026,24,1768,0.97
2026,25,1811,0.72
2026,26,1224,0.67
2026,27,2193,1.06
2026,28,1225,0.58
2026,29,2020,1.09
2026,30,934,0.51
2026,31,1724,0.87
2026,32,1647,0.75
2026,33,757,0.32
2026,34,2993,1.16
2026,35,1654,1.0
2026,36,699,0.34
2026,37,1584,0.79
2026,38,789,0.45
2026,39,1444,0.91
2026,40,1441,0.77
2026,41,1438,0.75
2026,42,1013,0.5
2026,43,2119,0.93
2026,44,1493,0.61
2026,45,781,0.33
2026,46,954,0.42
2026,47,1453,0.72
2026,48,1447,0.62
2026,49,1201,0.53
2026,50,2201,1.0
2026,51,1727,0.74
2026,52,1328,0.82
2026,53,952,0.42
2026,54,1789,0.8
2026,55,1783,1.02
2026,56,1654,1.06
2026,57,1735,0.79
2026,58,1143,0.54
2026,59,1953,1.0
2026,60,1938,0.93
2026,61,1044,0.58
2026,62,1085,0.5
2026,63,2240,0.94
2026,64,1442,0.61
2026,65,1883,0.85
2026,66,1879,0.92
2026,67,2500,1.32
2026,68,2932,1.47
2026,69,1620,0.76
2026,70,1634,0.68
2026,71,1779,0.78
2026,72,1359,0.61
2026,73,1300,0.55
2026,74,1118,0.5
2026,75,1207,0.47
2026,76,1345,0.53
2026,77,1140,0.47
2026,78,922,0.39
2026,79,2048,0.95
2026,80,2105,0.96
2026,81,1873,0.91
2026,82,1550,0.74
2026,83,1192,0.59
2026,84,1016,0.47
2026,85,1119,0.57
2026,86,930,0.43
2026,87,1842,0.85
2026,88,923,0.4
2026,89,1779,0.84
2026,90,1223,0.53
2026,91,1110,0.53
2026,92,1939,0.9
2026,93,1575,0.74
2026,94,718,0.33
2026,95,1500,0.71
2026,96,932,0.44
2026,97,994,0.48
2026,98,1230,0.56
2026,99,1387,0.61
2026,100,988,0.5
2026,101,1161,0.53
2026,102,1569,0.73
2026,103,731,0.5
2026,104,1187,0.75
2026,105,939,0.88
2026,106,972,0.53
2026,107,1372,0.7
2026,108,1197,0.77
2026,109,1316,0.67
2026,110,1475,0.66
2026,111,1045,0.6
2026,112,1145,0.77
2026,113,1197,0.71
2026,114,1459,0.74
2026,115,1792,0.71
2026,116,1382,0.78
2026,117,1568,0.8
2026,118,1474,0.63
2026,119,1543,0.65
2026,120,2318,0.99
2026,121,2837,1.19
2026,122,2616,1.21
2026,123,2192,1.01
2026,124,1327,0.53
2026,125,1684,0.71
2026,126,1660,0.8
2026,127,2221,1.05
2026,128,1402,0.6
2026,129,1470,0.58
2026,130,1044,0.42
2026,131,1165,0.5
2026,132,600,0.23
2026,133,1378,0.66
2026,134,1152,0.45
2026,135,1036,0.49
2026,136,903,0.41
2026,137,1683,0.71
2026,138,2368,1.03
2026,139,1624,0.67
2026,140,1110,0.5
2026,141,858,0.39
2026,142,1130,0.55
2026,143,1379,0.59
2026,144,0,0.0
2026,145,1654,0.69
2026,146,1668,0.67
2026,147,1950,0.79
2026,148,1595,0.6
2026,149,1902,0.79
2026,150,1976,0.86
2026,151,1599,0.62
2026,152,1501,0.73
2026,153,1635,0.7
2026,154,1484,0.62
2026,155,1273,0.55
2026,156,1993,0.91
2026,157,1685,0.94
2026,158,573,0.37
2026,159,829,0.59
2026,160,1296,0.93
2026,161,819,0.49
2026,162,832,0.76
2026,163,692,0.42
2026,164,1568,0.9
2026,165,672,0.63
2026,166,942,0.81
2026,167,1058,0.7
2026,168,1250,0.83
2026,169,924,0.78
2026,170,848,0.64
2026,171,1110,0.57
2026,172,1300,0.72
2026,173,1574,0.71
2026,174,1769,0.77
2026,175,1739,0.74
2026,176,1251,0.6
2026,177,1091,0.54
2026,178,1446,0.64
2026,179,1093,0.45
2026,180,2048,0.94
2026,181,1855,0.78
2026,182,1022,0.48
2026,183,2199,0.87
2026,184,1183,0.47
2026,185,1722,0.84
2026,186,1817,0.98
2026,187,2027,0.99
2026,188,1890,0.85
2026,189,2016,1.08
2026,190,3015,1.18
2026,191,1347,0.6
2026,192,1651,0.71
2026,193,1101,0.56
2026,194,1451,0.64
2026,195,2388,1.03
2026,196,1747,0.71
2026,197,2896,1.17
2026,198,1485,0.67
2026,199,2779,1.15
2026,200,1606,0.68
2026,201,2421,1.03
2026,202,1695,0.71
2026,203,1583,0.62
2026,204,1396,0.63
2026,205,1262,0.49
2026,206,1061,0.43
2026,207,1198,0.48
2026,208,843,0.35
2026,209,1066,0.45
2026,210,919,0.36
2026,211,617,0.26
2026,212,836,0.36
2026,213,1467,0.59
2026,214,701,0.28
2026,215,601,0.25
2026,216,1288,0.61
2026,217,1277,0.52
2026,218,722,0.27
2026,219,1211,0.55
2026,220,2890,1.39
2026,221,2532,1.19
2026,222,2262,1.02
2026,223,1338,0.6
2026,224,1290,0.8
2026,225,1651,0.73
2026,226,1305,0.51
2026,227,2173,0.9
2026,228,1535,0.74
2026,229,1087,0.5
2026,230,1711,0.68
2026,231,1308,0.54
2026,232,1795,0.68
2026,233,2455,1.11
2026,234,1921,0.72
