year,ac_no,winner,winner_party,gender,age,category,winner_votes,runner_up,runner_up_party,runner_up_votes,win_margin,margin_pct_polled,margin_pct_electors,votes_polled,total_electors,turnout_pct
2026,168,Ritesh Tiwari,BJP,MALE,54.0,GENERAL,68368,Atin Ghosh,TMC,66717,1651,1.1,0.98,150542,168019,89.6
2026,169,Sanjay Kumar Singh,BJP,MALE,57.0,GENERAL,57639,Kailash Kumar Mishra,TMC,45642,11997,10.18,8.97,117838,133780,88.08
2026,170,Umesh Rai,BJP,MALE,48.0,GENERAL,67539,Gautam Chowdhury,TMC,56289,11250,8.45,7.49,133063,150110,88.64
2026,171,Arup Roy,TMC,MALE,70.0,GENERAL,95948,Biplab Kumar Mandal,BJP,79865,16083,8.31,7.48,193459,214910,90.02
2026,172,Rudranil Ghosh,BJP,MALE,53.0,GENERAL,89615,Dr. Rana Chatterjee,TMC,73557,16058,8.86,8.23,181323,195103,92.94
2026,173,Nandita Chowdhury,TMC,FEMALE,65.0,GENERAL,100540,Shyamal Kumar Hati,BJP,92712,7828,3.53,3.25,222054,240748,92.24
2026,174,Priya Paul,TMC,FEMALE,55.0,SC,105412,Barnali Dhali Naskar,BJP,88672,16740,7.3,6.97,229210,240335,95.37
2026,175,Gulsan Mullick,TMC,MALE,68.0,GENERAL,123967,Ranjan Paul,BJP,85647,38320,16.3,15.42,235163,248515,94.63
2026,176,Ritabrata Banerjee,TMC,MALE,47.0,GENERAL,95633,Rudra Prosad Banerjee,BJP,83795,11838,5.69,5.42,208025,218601,95.16
2026,177,Chiran Bera,BJP,MALE,38.0,SC,93320,Bimal Kumar Das,TMC,89143,4177,2.05,1.95,203466,214715,94.76
2026,178,Pulak Roy,TMC,MALE,59.0,GENERAL,109649,Swami Mangalananda Puri,BJP,92462,17187,7.6,7.25,226271,237104,95.43
2026,179,Dr. Hiranmoy Chattopadhyaya (hiraan),BJP,MALE,49.0,GENERAL,125651,Nadebasi Jana,TMC,103391,22260,9.1,8.58,244669,259440,94.31
2026,180,Arunava Sen,TMC,MALE,50.0,GENERAL,105060,Pramanshu Rana,BJP,93744,11316,5.18,4.9,218406,230726,94.66
2026,181,Amit Samanta,BJP,MALE,35.0,GENERAL,104649,Sukanta Kumar Paul,TMC,100195,4454,1.88,1.73,237001,257113,92.18
2026,182,Samir Kumar Panja,TMC,MALE,61.0,GENERAL,105802,Probhakar Pandit,BJP,93575,12227,5.72,5.33,213603,229303,93.15
2026,183,Anupam Ghosh,BJP,MALE,47.0,GENERAL,115608,Subir Chatterjee (tinkai),TMC,108937,6671,2.64,2.46,252515,270866,93.23
2026,184,Tapas Maity,TMC,MALE,46.0,GENERAL,134036,Gobinda Hazra,BJP,91859,42177,16.59,15.66,254187,269344,94.37
2026,185,Dipanjan Chakraborty,BJP,MALE,60.0,GENERAL,80612,Sirsanya Bandopadhyay,TMC,70197,10415,5.07,4.56,205454,228576,89.88
2026,186,Bhaskar Bhattacharya,BJP,MALE,68.0,GENERAL,85644,Tanmoy Ghosh,TMC,76959,8685,4.66,4.21,186297,206216,90.34
2026,187,Dilip Singh,BJP,MALE,50.0,GENERAL,93704,Arindam Guin (bubai),TMC,90678,3026,1.48,1.36,204415,222304,91.95
2026,188,Arup Kumar Das,BJP,MALE,52.0,GENERAL,113008,Becharam Manna,TMC,91570,21438,9.63,9.03,222573,237516,93.71
2026,189,Deepanjan Kumar Guha,BJP,MALE,44.0,GENERAL,86273,Indranil Sen,TMC,72832,13441,7.19,6.6,186909,203795,91.71
2026,190,Subir Nag,BJP,MALE,53.0,GENERAL,137704,Debangshu Bhattacharya,TMC,94269,43435,17.02,15.72,255204,276244,92.38
2026,191,Sumana Sarkar,BJP,FEMALE,44.0,SC,125624,Ranjan Dhara,TMC,83710,41914,18.54,17.43,226031,240491,93.99
2026,192,Tusar Kumar Majumdar,BJP,MALE,46.0,GENERAL,101349,Samir Chakraborty,TMC,96121,5228,2.24,2.1,233718,249215,93.78
2026,193,Swaraj Ghosh,BJP,MALE,45.0,GENERAL,102414,Bidesh Ranjan Bose,TMC,79125,23289,11.85,11.06,196584,210597,93.35
2026,194,Swati Khandoker,TMC,FEMALE,58.0,GENERAL,107143,Debasish Mukherjee,BJP,87480,19663,8.64,7.97,227472,246622,92.24
2026,195,Prosenjit Bag,BJP,MALE,50.0,SC,102409,Snehasis Chakraborty,TMC,101547,862,0.37,0.34,232291,251164,92.49
2026,196,Madhumita Ghosh,BJP,FEMALE,52.0,GENERAL,113332,Karabi Manna,TMC,109844,3488,1.42,1.32,245994,264434,93.03
2026,197,Asima Patra,TMC,FEMALE,58.0,SC,123462,Barnali Das,BJP,110405,13057,5.27,4.97,247691,262844,94.23
2026,198,Santu Pan,BJP,MALE,29.0,GENERAL,116901,Ramendu Sinharay,TMC,85902,30999,13.99,13.16,221578,235634,94.03
2026,199,Biman Ghosh,BJP,MALE,42.0,GENERAL,138821,Partha Hazari,TMC,85368,53453,22.19,20.57,240924,259825,92.73
2026,200,Bag Hemanta,BJP,MALE,31.0,SC,123000,Bag Mita,TMC,94041,28959,12.28,11.42,235875,253519,93.04
2026,201,Prasanta Digar,BJP,MALE,39.0,SC,134498,Dr. Nirmal Maji,TMC,84916,49582,21.16,19.97,234321,248328,94.36
2026,202,Susanta Ghosh,BJP,MALE,37.0,GENERAL,126729,Palash Kumar Roy,TMC,92246,34483,14.54,12.83,237135,268692,88.26
2026,203,Hare Krishna Bera,BJP,MALE,66.0,GENERAL,136566,Dipendra Narayan Roy,TMC,101837,34729,13.52,12.64,256930,274816,93.49
2026,204,Subrata Maity(rana),BJP,MALE,43.0,GENERAL,109264,Ashim Kumar Maji,TMC,91361,17903,8.11,7.5,220737,238674,92.48
2026,205,Sintu Senapati,BJP,MALE,35.0,GENERAL,137919,Siraj Khan,TMC,105352,32567,12.6,11.66,258432,279248,92.55
2026,206,Ashoke Dinda,BJP,MALE,43.0,GENERAL,127166,Chandan Mondal,TMC,110925,16241,6.59,6.12,246333,265481,92.79
