year,ac_no,winner,winner_party,gender,age,category,winner_votes,runner_up,runner_up_party,runner_up_votes,win_margin,margin_pct_polled,margin_pct_electors,votes_polled,total_electors,turnout_pct
2026,207,Khanra Nirmal,BJP,MALE,40.0,GENERAL,131476,Sukumar De,TMC,100873,30603,12.27,11.56,249316,264738,94.17
2026,208,Subhas Chandra Panja,BJP,MALE,68.0,GENERAL,121584,Tilak Kumar Chakraborty,TMC,95346,26238,11.02,10.34,238188,253752,93.87
2026,209,Pradip Kumar Bijali,BJP,MALE,55.0,SC,132183,Tapasi Mondal,TMC,83121,49062,20.49,19.46,239446,252092,94.98
2026,210,Adhikari Suvendu,BJP,MALE,57.0,GENERAL,127301,Pabitra Kar,TMC,117636,9665,3.82,3.62,252722,267174,94.59
2026,211,Pijush Kanti Das,BJP,MALE,70.0,GENERAL,126047,Uttam Barik,TMC,105777,20270,8.38,7.91,241957,256364,94.38
2026,212,Tapan Maity,BJP,MALE,52.0,GENERAL,116589,Pijus Kanti Panda,TMC,107538,9051,3.9,3.66,232048,247529,93.75
2026,213,Sumita Sinha,BJP,FEMALE,58.0,GENERAL,130088,Debasis Bhunya,TMC,110033,20055,8.04,7.6,249421,263871,94.52
2026,214,Santanu Pramanik,BJP,MALE,41.0,SC,130586,Manab Kumar Parua,TMC,109708,20878,8.43,7.9,247653,264293,93.7
2026,215,Subrata Paik,BJP,MALE,58.0,SC,129875,Rabin Chandra Mandal,TMC,97185,32690,13.83,13.16,236328,248386,95.15
2026,216,Arup Kumar Das,BJP,MALE,68.0,GENERAL,118219,Tarun Kumar Jana,TMC,86747,31472,14.79,13.78,212835,228412,93.18
2026,217,Dr. Chandra Sekhar Mondal,BJP,MALE,42.0,GENERAL,131808,Akhil Giri,TMC,104869,26939,11.0,9.99,244842,269545,90.84
2026,218,Adhikari Dibyendu,BJP,MALE,49.0,GENERAL,142670,Tarun Kumar Maity,TMC,116978,25692,9.54,8.8,269373,291907,92.28
2026,219,Ajit Kumar Jana,BJP,MALE,71.0,GENERAL,110259,Manik Maiti,TMC,99883,10376,4.75,4.39,218374,236370,92.39
2026,220,Amiya Kisku,BJP,MALE,48.0,ST,100857,Dulal Murmu,TMC,94433,6424,3.09,2.83,207713,227076,91.47
2026,221,Rajesh Mahata,BJP,MALE,51.0,GENERAL,114683,Ajit Mahata,TMC,88008,26675,12.5,11.7,213383,228063,93.56
2026,222,Lakshmi Kanta Sau,BJP,MALE,48.0,GENERAL,120877,Mongal Saren,TMC,82730,38147,17.27,16.19,220940,235603,93.78
2026,223,Bhadra Hemram,BJP,MALE,49.0,ST,113713,Ramjiban Mandi,TMC,97826,15887,7.1,6.65,223842,238855,93.71
2026,224,Dilip Ghosh,BJP,MALE,61.0,GENERAL,89885,Pradip Sarkar,TMC,59379,30506,18.87,16.88,161661,180764,89.43
2026,225,Giri Ramaprasad,BJP,MALE,51.0,GENERAL,116050,Pratibha Maiti,TMC,95683,20367,9.03,8.51,225543,239375,94.22
2026,226,Amal Kumar Panda,BJP,MALE,73.0,GENERAL,127783,Manas Ranjan Bhunia,TMC,116647,11136,4.33,4.05,257340,274846,93.63
2026,227,Swagata Manna,BJP,FEMALE,41.0,GENERAL,124189,Ajit Maity,TMC,105709,18480,7.61,7.21,242754,256233,94.74
2026,228,Dinen Roy,TMC,MALE,70.0,GENERAL,98320,Tapan Bhuya,BJP,95448,2872,1.38,1.31,208560,218527,95.44
2026,229,Subhashis Om,BJP,MALE,41.0,GENERAL,114463,Rajib Banerjee,TMC,85662,28801,13.25,12.4,217323,232197,93.59
2026,230,Tapan Kumar Dutta,BJP,MALE,64.0,GENERAL,133071,Ashis Hudait,TMC,100937,32134,12.75,10.85,252047,296256,85.08
2026,231,Sital Kapat,BJP,MALE,36.0,SC,131550,Shyamali Sardar,TMC,93893,37657,15.56,13.6,242025,276794,87.44
2026,232,Sukanta Dolui,BJP,MALE,41.0,SC,140517,Doloi Surjya Kanta,TMC,107036,33481,12.65,11.83,264690,283081,93.5
2026,233,Pradip Lodha,BJP,MALE,65.0,GENERAL,113752,Uttara Singha (hazra),TMC,87527,26225,11.81,11.22,222049,233655,95.03
2026,234,Biman Mahata,BJP,MALE,36.0,GENERAL,132856,Srikanta Mahata,TMC,117613,15243,5.72,5.45,266475,279613,95.3
2026,235,Seuli Saha,TMC,FEMALE,56.0,SC,143123,Suvendu Samanta,BJP,93018,50105,19.73,18.68,253963,268213,94.69
2026,236,Sankar Kumar Guchhait,BJP,MALE,42.0,GENERAL,133041,Sujoy Hazra,TMC,94294,38747,15.87,14.87,244086,260610,93.66
2026,237,Dr. Pranat Tudu,BJP,MALE,48.0,ST,107238,Birbaha Hansda,TMC,84261,22977,11.04,10.37,208079,221524,93.93
2026,238,Labsen Baskey,BJP,MALE,50.0,ST,134080,Rajib Lochan Saren,TMC,104503,29577,11.11,10.34,266178,286171,93.01
2026,239,Jaladhar Mahato,BJP,MALE,40.0,GENERAL,118421,Shantiram Mahato,TMC,83370,35051,15.94,14.87,219946,235710,93.31
2026,240,Rahidas Mahato,BJP,MALE,35.0,GENERAL,112663,Sushanta Mahato,TMC,71846,40817,17.74,16.26,230137,250978,91.7
2026,241,Biswajit Mahato,BJP,MALE,35.0,GENERAL,104668,Arjun Mahato,TMC,82450,22218,9.53,8.74,233203,254082,91.78
2026,242,Sudip Kumar Mukherjee,BJP,MALE,55.0,GENERAL,128454,Sujoy Banerjee,TMC,79201,49253,21.35,19.52,230653,252313,91.42
2026,243,Mayna Murmu,BJP,FEMALE,27.0,ST,120487,Sandhya Rani Tudu,TMC,93204,27283,11.54,10.66,236467,255913,92.4
2026,244,Kamala Kanta Hansda,BJP,MALE,51.0,GENERAL,106571,Soumen Beltharia,TMC,85295,21276,10.04,9.25,211974,229972,92.17
2026,245,Nadiar Chand Bouri,BJP,MALE,48.0,SC,113488,Manik Chandra Bauri,TMC,79767,33721,15.62,14.27,215946,236360,91.36
2026,246,Mamoni Bauri,BJP,FEMALE,44.0,SC,127628,Hazari Bouri,TMC,83569,44059,18.79,17.32,234431,254449,92.13
2026,247,Chandana Bauri,BJP,FEMALE,35.0,SC,115180,Uttam Bauri,TMC,83045,32135,14.71,13.76,218491,233527,93.56
2026,248,Satyanarayan Mukhopadhyay,BJP,MALE,55.0,GENERAL,125972,Swapan Kumar Mondal,TMC,78798,47174,21.25,19.42,221957,242884,91.38
2026,249,Kshudiram Tudu,BJP,MALE,55.0,ST,131145,Tanushree Hansda,TMC,78876,52269,22.07,20.48,236828,255198,92.8
2026,250,Kshetramohan Hansda,BJP,MALE,61.0,ST,111443,Thakurmani Saren,TMC,82701,28742,13.67,12.8,210215,224609,93.59
2026,251,Souvik Patra,BJP,MALE,32.0,GENERAL,124537,Falguni Singhababu,TMC,74464,50073,22.77,21.15,219936,236732,92.91
2026,252,Niladri Sekhar Dana,BJP,MALE,59.0,GENERAL,136992,Dr. Anup Mandal,TMC,82815,54177,22.64,20.71,239331,261565,91.5
2026,253,Billeswar Sinha,BJP,MALE,46.0,GENERAL,125419,Goutam Mishra (shyam),TMC,84109,41310,17.55,16.38,235362,252205,93.32
2026,254,Amarnath Shakha,BJP,MALE,61.0,GENERAL,128296,Subrata Dutta (gopi),TMC,96573,31723,12.88,12.06,246292,263110,93.61
2026,255,Shukla Chatterjee,BJP,FEMALE,48.0,GENERAL,111082,Tanmay Ghosh (bumba),TMC,80477,30605,14.75,13.86,207478,220848,93.95
2026,256,Lakshmi Kanta Majumdar,BJP,MALE,50.0,SC,126241,Harakali Protiher,TMC,91874,34367,14.3,13.51,240253,254394,94.44
2026,257,Nirmal Kumar Dhara,BJP,MALE,44.0,SC,108733,Shyamali Roy Bagdi,TMC,107833,900,0.39,0.37,232394,245791,94.55
2026,258,Dibakar Gharami,BJP,MALE,48.0,SC,115549,Kallol Saha,TMC,86139,29410,13.26,12.45,221852,236292,93.89
2026,259,Nabin Chandra Bag,TMC,MALE,50.0,SC,104183,Goutam Dhara,BJP,95899,8284,3.71,3.54,223246,233783,95.49
2026,260,Moumita Biswas Misra,BJP,FEMALE,42.0,GENERAL,107754,Khokan Das,TMC,77284,30470,14.88,13.72,204823,222117,92.21
2026,261,Subhash Patra,BJP,MALE,37.0,SC,103487,Mandira Dalui,TMC,102653,834,0.36,0.34,233245,246255,94.72
2026,262,Arun Halder,BJP,MALE,58.0,SC,99936,Bhutnath Malik,TMC,88758,11178,5.2,4.96,214774,225551,95.22
2026,263,Saikat Panja,BJP,MALE,34.0,GENERAL,96559,Chowdhuri Siddiqullah,TMC,81761,14798,7.25,6.82,204165,216968,94.1
2026,264,Siddhartha Majumdar,BJP,MALE,44.0,SC,110790,Debo Prasad Bag (poltu),TMC,82160,28630,13.43,12.64,213233,226568,94.11
2026,265,Manab Guha,BJP,MALE,49.0,GENERAL,106428,Rash Bihari Halder,TMC,99322,7106,3.12,2.96,227492,239719,94.9
2026,266,Nisith Kumar Malik,TMC,MALE,57.0,SC,112688,Sanjoy Das,BJP,106228,6460,2.61,2.48,247932,260510,95.17
2026,267,Karfa Soumen,BJP,MALE,34.0,GENERAL,98820,Koner Shantanu,TMC,92292,6528,3.04,2.88,214694,226841,94.65
2026,268,Pran Krishna Tapadar,BJP,MALE,43.0,GENERAL,111004,Swapan Debnath,TMC,94342,16662,7.57,7.16,220056,232857,94.5
2026,269,Gopal Chattopadhyay,BJP,MALE,48.0,GENERAL,111379,Vasundhara Goswami,TMC,81153,30226,13.44,12.6,224880,239934,93.73
2026,270,Krishna Ghosh,BJP,MALE,47.0,GENERAL,122020,Rabindranath Chatterjee,TMC,86954,35066,14.64,13.63,239536,257343,93.08
2026,271,Anadi Ghosh,BJP,MALE,46.0,GENERAL,111104,Sekh Sahonawez,TMC,83494,27610,12.6,11.76,219183,234702,93.39
2026,272,Shishir Ghosh,BJP,MALE,48.0,GENERAL,104020,Apurba Chowdhury (achal),TMC,91297,12723,5.8,5.48,219247,232205,94.42
2026,273,Kalita Maji,BJP,FEMALE,38.0,SC,107692,Shyama Prasanna Lohar,TMC,95157,12535,5.55,5.31,225886,236132,95.66
2026,274,Raju Patra,BJP,MALE,35.0,SC,110640,Alok Kumar Majhi,TMC,100146,10494,4.52,4.3,232345,244138,95.17
2026,275,Jitendra Kumar Tewari,BJP,MALE,52.0,GENERAL,80501,Narendranath Chakraborty,TMC,79103,1398,0.8,0.74,174712,188499,92.69
2026,276,Chandra Sekhar Banerjee,BJP,MALE,47.0,GENERAL,108888,Pradip Mazumdar,TMC,77954,30934,14.4,13.03,214802,237454,90.46
2026,277,Lakshman Chandra Ghorui,BJP,MALE,54.0,GENERAL,114729,Kabi Dutta,TMC,77131,37598,17.34,15.73,216774,238974,90.71
2026,278,Partha Ghosh,BJP,MALE,47.0,GENERAL,97416,Kalobaran Mondal,TMC,79630,17786,9.05,8.23,196484,216243,90.86
2026,279,Dr. Bijan Mukherjee,BJP,MALE,47.0,GENERAL,90150,Hareram Singh,TMC,67636,22514,12.4,11.45,181594,196678,92.33
2026,280,Agnimitra Paul,BJP,FEMALE,53.0,GENERAL,119582,Tapas Banerjee,TMC,78743,40839,18.93,17.06,215792,239405,90.14
2026,281,Krishnendu Mukherjee,BJP,MALE,51.0,GENERAL,104516,Moloy Ghatak,TMC,92901,11615,5.52,4.9,210607,237089,88.83
2026,282,Ajay Kumar Poddar,BJP,MALE,68.0,GENERAL,103570,Abhijit Ghatak,TMC,77072,26498,13.93,12.56,190239,210912,90.2
2026,283,Arijit Roy,BJP,MALE,34.0,GENERAL,91777,Bidhan Upadhyay,TMC,80055,11722,6.33,5.8,185274,202090,91.68
2026,284,Anup Kumar Saha,BJP,MALE,39.0,SC,117437,Naresh Chandra Bauri,TMC,89790,27647,12.56,11.93,220193,231802,94.99
2026,285,Jagannath Chattopadhyay,BJP,MALE,48.0,GENERAL,124243,Ujjal Chatterjee,TMC,95557,28686,12.03,11.36,238504,252420,94.49
2026,286,Chandranath Sinha,TMC,MALE,63.0,GENERAL,114915,Dilip Ghosh,BJP,101727,13188,5.35,5.06,246339,260376,94.61
2026,287,Bidhan Chandra Majhi,TMC,MALE,45.0,SC,119910,Khokan Das,BJP,111788,8122,3.21,3.01,253119,269616,93.88
2026,288,Debasis Ojha (haku Da),BJP,MALE,58.0,GENERAL,106402,Abhijit Sinha (rana),TMC,102852,3550,1.59,1.51,223002,235224,94.8
2026,289,Krishna Kanta Saha,BJP,MALE,39.0,SC,115054,Nilabati Saha,TMC,104748,10306,4.27,4.08,241175,252442,95.54
2026,290,Dudh Kumar Mondal,BJP,MALE,70.0,GENERAL,107056,Abhijit Roy,TMC,86054,21002,9.84,9.28,213473,226302,94.33
2026,291,Dhruba Saha,BJP,MALE,46.0,GENERAL,111920,Asish Banerjee,TMC,87687,24233,10.37,9.87,233723,245490,95.21
2026,292,Fayezul Haque (kajal Sk),TMC,MALE,51.0,GENERAL,103223,Nikhil Banerjee,BJP,74925,28298,12.49,11.91,226555,237652,95.33
2026,293,Rajendra Prasad Singh(raju Singh),TMC,MALE,53.0,GENERAL,87744,Anil Kumar Singh,BJP,74298,13446,6.04,5.79,222519,232063,95.89
2026,294,Dr. Mosarraf Hossain,TMC,MALE,63.0,GENERAL,96902,Sanjibur Rahaman (bappa),INC,59197,37705,15.52,14.95,242939,252203,96.33
