ac_no,ac_name,reservation,is_reserved,ac_name_2021,ac_name_2026,district,region
66,KHARGRAM,SC,1,Khargram,KHARGRAM (SC),Murshidabad,Murshidabad-Nadia
67,BURWAN,SC,1,Burwan,BURWAN (SC),Murshidabad,Murshidabad-Nadia
68,KANDI,GEN,0,Kandi,KANDI,Murshidabad,Murshidabad-Nadia
69,BHARATPUR,GEN,0,Bharatpur,BHARATPUR,Murshidabad,Murshidabad-Nadia
70,REJINAGAR,GEN,0,Rejinagar,REJINAGAR,Murshidabad,Murshidabad-Nadia
71,BELDANGA,GEN,0,Beldanga,BELDANGA,Murshidabad,Murshidabad-Nadia
72,BAHARAMPUR,GEN,0,Baharampur,BAHARAMPUR,Murshidabad,Murshidabad-Nadia
73,HARIHARPARA,GEN,0,Hariharpara,HARIHARPARA,Murshidabad,Murshidabad-Nadia
74,NOWDA,GEN,0,Nowda,NOWDA,Murshidabad,Murshidabad-Nadia
75,DOMKAL,GEN,0,Domkal,DOMKAL,Murshidabad,Murshidabad-Nadia
76,JALANGI,GEN,0,Jalangi,JALANGI,Murshidabad,Murshidabad-Nadia
77,KARIMPUR,GEN,0,Karimpur,KARIMPUR,Nadia,Murshidabad-Nadia
78,TEHATTA,GEN,0,Tehatta,TEHATTA,Nadia,Murshidabad-Nadia
79,PALASHIPARA,GEN,0,Palashipara,PALASHIPARA,Nadia,Murshidabad-Nadia
80,KALIGANJ,GEN,0,Kaliganj,KALIGANJ,Nadia,Murshidabad-Nadia
81,NAKASHIPARA,GEN,0,Nakashipara,NAKASHIPARA,Nadia,Murshidabad-Nadia
82,CHAPRA,GEN,0,Chapra,CHAPRA,Nadia,Murshidabad-Nadia
83,KRISHNANAGAR UTTAR,GEN,0,Krishnanagar Uttar,KRISHNANAGAR UTTAR,Nadia,Murshidabad-Nadia
84,NABADWIP,GEN,0,Nabadwip,NABADWIP,Nadia,Murshidabad-Nadia
85,KRISHNANAGAR DAKSHIN,GEN,0,Krishnanagar Dakshin,KRISHNANAGAR DAKSHIN,Nadia,Murshidabad-Nadia
86,SANTIPUR,GEN,0,Santipur,SANTIPUR,Nadia,Murshidabad-Nadia
87,RANAGHAT UTTAR PASCHIM,GEN,0,Ranaghat Uttar Paschim,RANAGHAT UTTAR PASCHIM,Nadia,Murshidabad-Nadia
88,KRISHNAGANJ,SC,1,Krishnaganj,KRISHNAGANJ (SC),Nadia,Murshidabad-Nadia
89,RANAGHAT UTTAR PURBA,SC,1,Ranaghat Uttar Purba,RANAGHAT UTTAR PURBA (SC),Nadia,Murshidabad-Nadia
90,RANAGHAT DAKSHIN,SC,1,Ranaghat Dakshin,RANAGHAT DAKSHIN (SC),Nadia,Murshidabad-Nadia
91,CHAKDAHA,GEN,0,Chakdaha,CHAKDAHA,Nadia,Murshidabad-Nadia
92,KALYANI,SC,1,Kalyani,KALYANI (SC),Nadia,Murshidabad-Nadia
93,HARINGHATA,SC,1,Haringhata,HARINGHATA (SC),Nadia,Murshidabad-Nadia
94,BAGDA,SC,1,Bagda,BAGDA (SC),North 24 Parganas,North 24 Parganas
95,BANGAON UTTAR,SC,1,Bangaon Uttar,BANGAON UTTAR (SC),North 24 Parganas,North 24 Parganas
96,BANGAON DAKSHIN,SC,1,Bangaon Dakshin,BANGAON DAKSHIN (SC),North 24 Parganas,North 24 Parganas
97,GAIGHATA,SC,1,Gaighata,GAIGHATA (SC),North 24 Parganas,North 24 Parganas
