ac_no,ac_name,reservation,is_reserved,ac_name_2021,ac_name_2026,district,region
273,AUSGRAM,SC,1,Ausgram,AUSGRAM (SC),Purba Bardhaman,Rarh Bengal
274,GALSI,SC,1,Galsi,GALSI (SC),Purba Bardhaman,Rarh Bengal
275,PANDABESWAR,GEN,0,Pandabeswar,PANDABESWAR,Paschim Bardhaman,Rarh Bengal
276,DURGAPUR PURBA,GEN,0,Durgapur Purba,DURGAPUR PURBA,Paschim Bardhaman,Rarh Bengal
277,DURGAPUR PASCHIM,GEN,0,Durgapur Paschim,DURGAPUR PASCHIM,Paschim Bardhaman,Rarh Bengal
278,RANIGANJ,GEN,0,Raniganj,RANIGANJ,Paschim Bardhaman,Rarh Bengal
279,JAMURIA,GEN,0,Jamuria,JAMURIA,Paschim Bardhaman,Rarh Bengal
280,ASANSOL DAKSHIN,GEN,0,Asansol Dakshin,ASANSOL DAKSHIN,Paschim Bardhaman,Rarh Bengal
281,ASANSOL UTTAR,GEN,0,Asansol Uttar,ASANSOL UTTAR,Paschim Bardhaman,Rarh Bengal
282,KULTI,GEN,0,Kulti,KULTI,Paschim Bardhaman,Rarh Bengal
283,BARABANI,GEN,0,Barabani,BARABANI,Paschim Bardhaman,Rarh Bengal
284,DUBRAJPUR,SC,1,Dubrajpur,DUBRAJPUR (SC),Birbhum,Rarh Bengal
285,SURI,GEN,0,Suri,SURI,Birbhum,Rarh Bengal
286,BOLPUR,GEN,0,Bolpur,BOLPUR,Birbhum,Rarh Bengal
287,NANOOR,SC,1,Nanoor,NANOOR (SC),Birbhum,Rarh Bengal
288,LABPUR,GEN,0,Labpur,LABPUR,Birbhum,Rarh Bengal
289,SAINTHIA,SC,1,Sainthia,SAINTHIA (SC),Birbhum,Rarh Bengal
290,MAYURESWAR,GEN,0,Mayureswar,MAYURESWAR,Birbhum,Rarh Bengal
291,RAMPURHAT,GEN,0,Rampurhat,RAMPURHAT,Birbhum,Rarh Bengal
292,HANSAN,GEN,0,Hansan,HANSAN,Birbhum,Rarh Bengal
293,NALHATI,GEN,0,Nalhati,NALHATI,Birbhum,Rarh Bengal
294,MURARAI,GEN,0,Murarai,MURARAI,Birbhum,Rarh Bengal
