year,ac_no,total_electors,votes_polled,turnout_pct
2021,212,236413,208827,88.33
2021,213,257427,228416,88.73
2021,214,254184,222650,87.59
2021,215,238630,212621,89.1
2021,216,224657,194681,86.66
2021,217,264900,222060,83.83
2021,218,284614,240817,84.61
2021,219,233841,197798,84.59
2021,220,226791,192354,84.82
2021,221,226417,199070,87.92
2021,222,236035,201797,85.49
2021,223,238835,212681,89.05
2021,224,234672,171385,73.03
2021,225,243832,217750,89.3
2021,226,264783,236201,89.21
2021,227,255054,228669,89.66
2021,228,227081,200044,88.09
2021,229,234184,204866,87.48
2021,230,298096,222464,74.63
2021,231,279908,225375,80.52
2021,232,279867,249315,89.08
2021,233,232046,207681,89.5
2021,234,276940,249195,89.98
2021,235,261529,230232,88.03
2021,236,280060,238898,85.3
2021,237,224036,188798,84.27
2021,238,284840,241055,84.63
2021,239,238113,197965,83.14
2021,240,249613,206303,82.65
2021,241,249621,202767,81.23
2021,242,258947,206868,79.89
2021,243,253708,213729,84.24
2021,244,238871,194892,81.59
2021,245,243906,194021,79.55
2021,246,259434,214690,82.75
2021,247,232517,202413,87.05
2021,248,242270,196836,81.25
2021,249,253359,211170,83.35
2021,250,224604,194476,86.59
2021,251,233291,203186,87.1
2021,252,269829,217986,80.79
2021,253,250729,219452,87.53
2021,254,256906,225759,87.88
2021,255,219284,191469,87.32
2021,256,246785,224123,90.82
2021,257,242938,218453,89.92
2021,258,233059,207739,89.14
2021,259,242730,217897,89.77
2021,260,257940,205345,79.61
2021,261,258742,229166,88.57
2021,262,235973,206690,87.59
2021,263,242229,209036,86.3
2021,264,241471,208951,86.53
2021,265,254236,218802,86.06
2021,266,277026,241925,87.33
2021,267,246694,214168,86.82
2021,268,248533,215353,86.65
2021,269,252626,212343,84.05
2021,270,267738,224459,83.84
2021,271,258310,215317,83.36
2021,272,251003,217329,86.58
2021,273,246956,217080,87.9
2021,274,256642,222538,86.71
2021,275,211960,164291,77.51
2021,276,256531,192674,75.11
2021,277,269303,196902,73.12
2021,278,250813,182211,72.65
2021,279,221419,166703,75.29
2021,280,274245,194737,71.01
2021,281,275796,192907,69.95
2021,282,251671,174767,69.44
2021,283,225596,169207,75.0
2021,284,241742,204599,84.64
2021,285,263557,218590,82.94
2021,286,273896,230260,84.07
2021,287,276777,235328,85.02
2021,288,240044,212027,88.33
2021,289,255959,221866,86.68
2021,290,230682,199425,86.45
2021,291,260812,217323,83.33
2021,292,248113,210606,84.88
2021,293,244837,207696,84.83
2021,294,263200,217917,82.8
2026,1,224781,218859,97.37
2026,2,249135,241845,97.07
2026,3,264197,254175,96.21
2026,4,214440,205413,95.79
2026,5,285874,279822,97.88
2026,6,273362,265319,97.06
2026,7,278074,267925,96.35
2026,8,240383,232716,96.81
2026,9,238111,230829,96.94
2026,10,260288,246827,94.83
2026,11,222332,202607,91.13
2026,12,245304,232466,94.77
2026,13,245799,235953,95.99
2026,14,194663,176753,90.8
2026,15,258677,248496,96.06
2026,16,259205,251447,97.01
2026,17,251217,237856,94.68
2026,18,231186,224379,97.06
2026,19,264767,251889,95.14
2026,20,238092,224453,94.27
2026,21,220932,203963,92.32
2026,22,203506,169477,83.28
2026,23,210995,173807,82.37
2026,24,218103,181833,83.37
2026,25,270154,250985,92.9
2026,26,201008,183573,91.33
2026,27,217918,207732,95.33
2026,28,219393,211163,96.25
2026,29,202385,185961,91.88
2026,30,199566,183176,91.79
2026,31,216163,199125,92.12
2026,32,231680,219973,94.95
2026,33,246863,239372,96.97
2026,34,268580,258225,96.14
2026,35,174464,164804,94.46
2026,36,211669,204159,96.45
2026,37,206031,199526,96.84
2026,38,180629,173869,96.26
2026,39,167310,158296,94.61
2026,40,195260,186702,95.62
2026,41,200464,192823,96.19
2026,42,211506,204074,96.49
2026,43,238515,227613,95.43
2026,44,255389,243885,95.5
2026,45,244678,234409,95.8
2026,46,239042,227099,95.0
2026,47,212732,202035,94.97
2026,48,247168,233138,94.32
2026,49,236535,225363,95.28
2026,50,231841,220797,95.24
2026,51,249659,234560,93.95
2026,52,169594,162178,95.63
2026,53,236585,227125,96.0
2026,54,234158,224839,96.02
2026,55,181811,174841,96.17
2026,56,161502,155430,96.24
2026,57,229360,220852,96.29
2026,58,221206,212606,96.11
2026,59,200586,194765,97.1
2026,60,217262,207660,95.58
2026,61,186332,180167,96.69
2026,62,224767,218216,97.09
2026,63,244547,237202,97.0
2026,64,248676,237534,95.52
2026,65,243554,221580,90.98
2026,66,231076,204477,88.49
2026,67,214906,188917,87.91
2026,68,234139,199460,85.19
2026,69,240461,214424,89.17
2026,70,257373,239295,92.98
2026,71,244767,228591,93.39
2026,72,241429,224268,92.89
2026,73,245668,235296,95.78
2026,74,236256,221600,93.8
2026,75,267693,257790,96.3
2026,76,263066,253306,96.29
2026,77,253802,240916,94.92
2026,78,253796,233588,92.04
2026,79,232690,214650,92.25
2026,80,233595,219023,93.76
2026,81,219401,205920,93.86
2026,82,232860,210762,90.51
2026,83,217296,202057,92.99
2026,84,230481,218181,94.66
2026,85,210686,197084,93.54
2026,86,227916,214973,94.32
2026,87,233327,217135,93.06
2026,88,254486,232467,91.35
2026,89,233552,211396,90.51
2026,90,254197,232685,91.54
2026,91,224671,210720,93.79
2026,92,230939,215506,93.32
2026,93,225582,212756,94.31
2026,94,241642,217223,89.89
2026,95,226988,211344,93.11
2026,96,228861,212191,92.72
2026,97,223535,209201,93.59
2026,98,229583,218120,95.01
2026,99,236598,227365,96.1
2026,100,209653,198737,94.79
2026,101,229948,219757,95.57
2026,102,221501,213502,96.39
2026,103,158512,144886,91.4
2026,104,171184,157664,92.1
2026,105,117493,106314,90.49
2026,106,196204,183193,93.37
2026,107,214216,195177,91.11
2026,108,171212,154918,90.48
2026,109,210105,196505,93.53
2026,110,240505,223349,92.87
2026,111,189867,174984,92.16
2026,112,162833,148272,91.06
