ac_no,district,region
172,Howrah,Kolkata & Howrah
173,Howrah,Kolkata & Howrah
174,Howrah,Kolkata & Howrah
175,Howrah,Kolkata & Howrah
176,Howrah,Kolkata & Howrah
177,Howrah,Kolkata & Howrah
178,Howrah,Kolkata & Howrah
179,Howrah,Kolkata & Howrah
180,Howrah,Kolkata & Howrah
181,Howrah,Kolkata & Howrah
182,Howrah,Kolkata & Howrah
183,Howrah,Kolkata & Howrah
184,Howrah,Kolkata & Howrah
185,Hooghly,Hooghly & Purba Medinipur
186,Hooghly,Hooghly & Purba Medinipur
187,Hooghly,Hooghly & Purba Medinipur
188,Hooghly,Hooghly & Purba Medinipur
189,Hooghly,Hooghly & Purba Medinipur
190,Hooghly,Hooghly & Purba Medinipur
191,Hooghly,Hooghly & Purba Medinipur
192,Hooghly,Hooghly & Purba Medinipur
193,Hooghly,Hooghly & Purba Medinipur
194,Hooghly,Hooghly & Purba Medinipur
195,Hooghly,Hooghly & Purba Medinipur
196,Hooghly,Hooghly & Purba Medinipur
197,Hooghly,Hooghly & Purba Medinipur
198,Hooghly,Hooghly & Purba Medinipur
199,Hooghly,Hooghly & Purba Medinipur
200,Hooghly,Hooghly & Purba Medinipur
201,Hooghly,Hooghly & Purba Medinipur
202,Hooghly,Hooghly & Purba Medinipur
203,Purba Medinipur,Hooghly & Purba Medinipur
204,Purba Medinipur,Hooghly & Purba Medinipur
205,Purba Medinipur,Hooghly & Purba Medinipur
206,Purba Medinipur,Hooghly & Purba Medinipur
207,Purba Medinipur,Hooghly & Purba Medinipur
208,Purba Medinipur,Hooghly & Purba Medinipur
209,Purba Medinipur,Hooghly & Purba Medinipur
210,Purba Medinipur,Hooghly & Purba Medinipur
211,Purba Medinipur,Hooghly & Purba Medinipur
212,Purba Medinipur,Hooghly & Purba Medinipur
213,Purba Medinipur,Hooghly & Purba Medinipur
214,Purba Medinipur,Hooghly & Purba Medinipur
215,Purba Medinipur,Hooghly & Purba Medinipur
216,Purba Medinipur,Hooghly & Purba Medinipur
217,Purba Medinipur,Hooghly & Purba Medinipur
218,Purba Medinipur,Hooghly & Purba Medinipur
219,Paschim Medinipur,Jangalmahal
220,Jhargram,Jangalmahal
221,Jhargram,Jangalmahal
222,Jhargram,Jangalmahal
223,Paschim Medinipur,Jangalmahal
224,Paschim Medinipur,Jangalmahal
225,Paschim Medinipur,Jangalmahal
226,Paschim Medinipur,Jangalmahal
227,Paschim Medinipur,Jangalmahal
228,Paschim Medinipur,Jangalmahal
229,Paschim Medinipur,Jangalmahal
230,Paschim Medinipur,Jangalmahal
231,Paschim Medinipur,Jangalmahal
232,Paschim Medinipur,Jangalmahal
233,Paschim Medinipur,Jangalmahal
234,Paschim Medinipur,Jangalmahal
235,Paschim Medinipur,Jangalmahal
236,Paschim Medinipur,Jangalmahal
237,Jhargram,Jangalmahal
238,Purulia,Jangalmahal
239,Purulia,Jangalmahal
240,Purulia,Jangalmahal
241,Purulia,Jangalmahal
242,Purulia,Jangalmahal
243,Purulia,Jangalmahal
244,Purulia,Jangalmahal
245,Purulia,Jangalmahal
246,Purulia,Jangalmahal
247,Bankura,Jangalmahal
248,Bankura,Jangalmahal
249,Bankura,Jangalmahal
250,Bankura,Jangalmahal
251,Bankura,Jangalmahal
252,Bankura,Jangalmahal
253,Bankura,Jangalmahal
254,Bankura,Jangalmahal
255,Bankura,Jangalmahal
256,Bankura,Jangalmahal
257,Bankura,Jangalmahal
258,Bankura,Jangalmahal
259,Purba Bardhaman,Rarh Bengal
260,Purba Bardhaman,Rarh Bengal
261,Purba Bardhaman,Rarh Bengal
262,Purba Bardhaman,Rarh Bengal
263,Purba Bardhaman,Rarh Bengal
264,Purba Bardhaman,Rarh Bengal
265,Purba Bardhaman,Rarh Bengal
266,Purba Bardhaman,Rarh Bengal
267,Purba Bardhaman,Rarh Bengal
268,Purba Bardhaman,Rarh Bengal
269,Purba Bardhaman,Rarh Bengal
270,Purba Bardhaman,Rarh Bengal
271,Purba Bardhaman,Rarh Bengal
272,Purba Bardhaman,Rarh Bengal
273,Purba Bardhaman,Rarh Bengal
274,Purba Bardhaman,Rarh Bengal
275,Paschim Bardhaman,Rarh Bengal
276,Paschim Bardhaman,Rarh Bengal
277,Paschim Bardhaman,Rarh Bengal
278,Paschim Bardhaman,Rarh Bengal
279,Paschim Bardhaman,Rarh Bengal
280,Paschim Bardhaman,Rarh Bengal
281,Paschim Bardhaman,Rarh Bengal
282,Paschim Bardhaman,Rarh Bengal
