state,ac_no,ac_name,candidate,gender,age,category,party,general_votes,postal_votes,total_votes,vote_pct,total_electors,year
West Bengal,223,KESHIARY (ST),Nota,,,,NOTA,1324,14,1338,0.6,238855,2026
West Bengal,223,KESHIARY (ST),Kalachand Tudu,MALE,58.0,ST,INC,1311,8,1319,0.59,238855,2026
West Bengal,223,KESHIARY (ST),Sunil Singh,MALE,41.0,ST,SUCI,1228,5,1233,0.55,238855,2026
West Bengal,223,KESHIARY (ST),Tapan Kumar Sing,MALE,46.0,ST,BSP,935,1,936,0.42,238855,2026
West Bengal,223,KESHIARY (ST),Chunaram Saren,MALE,35.0,ST,IND,838,0,838,0.37,238855,2026
West Bengal,223,KESHIARY (ST),Lakshmi Kanta Hembram,MALE,51.0,ST,IND,391,0,391,0.17,238855,2026
West Bengal,224,KHARAGPUR SADAR,Dilip Ghosh,MALE,61.0,GENERAL,BJP,88934,951,89885,55.6,180764,2026
West Bengal,224,KHARAGPUR SADAR,Pradip Sarkar,MALE,54.0,GENERAL,TMC,58999,380,59379,36.73,180764,2026
West Bengal,224,KHARAGPUR SADAR,Madhusudan Roy,MALE,62.0,GENERAL,CPI(M),5341,110,5451,3.37,180764,2026
West Bengal,224,KHARAGPUR SADAR,Dr. Papiya Chakraborty,FEMALE,46.0,GENERAL,INC,2843,36,2879,1.78,180764,2026
West Bengal,224,KHARAGPUR SADAR,Nota,,,,NOTA,1270,20,1290,0.8,180764,2026
West Bengal,224,KHARAGPUR SADAR,Suranjan Mahapatra,MALE,59.0,GENERAL,SUCI,803,3,806,0.5,180764,2026
West Bengal,224,KHARAGPUR SADAR,Gokul Khatick,MALE,47.0,SC,BSP,772,3,775,0.48,180764,2026
West Bengal,224,KHARAGPUR SADAR,Bishnu Kumar Sahu,MALE,34.0,GENERAL,IND,562,1,563,0.35,180764,2026
West Bengal,224,KHARAGPUR SADAR,T. Anil Singh,MALE,40.0,GENERAL,RASLJP,354,1,355,0.22,180764,2026
West Bengal,224,KHARAGPUR SADAR,Azfar Ali Khan,MALE,60.0,GENERAL,IND,278,0,278,0.17,180764,2026
West Bengal,225,NARAYANGARH,Giri Ramaprasad,MALE,51.0,GENERAL,BJP,115133,917,116050,51.45,239375,2026
West Bengal,225,NARAYANGARH,Pratibha Maiti,FEMALE,61.0,GENERAL,TMC,95205,478,95683,42.42,239375,2026
West Bengal,225,NARAYANGARH,Tapas Sinha,MALE,59.0,GENERAL,CPI(M),7240,105,7345,3.26,239375,2026
West Bengal,225,NARAYANGARH,Nota,,,,NOTA,1640,11,1651,0.73,239375,2026
West Bengal,225,NARAYANGARH,Shyama Pada Jana,MALE,69.0,GENERAL,SUCI,1543,15,1558,0.69,239375,2026
