ac_no,state,ac_name,candidate,gender,age,category,party,general_votes,postal_votes,total_votes,vote_pct,total_electors,year,runner_up_votes,runner_up_candidate,runner_up_party,win_margin,win_margin_pct
19,West Bengal,Dabgram-Fulbari,Sikha Chatterjee,FEMALE,68.0,GENERAL,BJP,128302,786,129088,49.85,310354,2021,101495,Goutam Deb,TMC,27593,8.89
20,West Bengal,Mal,BULU CHIK BARAIK,MALE,61.0,ST,TMC,98697,389,99086,46.46,255570,2021,93621,MAHESH BAGEY,BJP,5465,2.14
21,West Bengal,Nagrakata,PUNA BHENGRA,MALE,46.0,ST,BJP,94371,351,94722,49.55,237305,2021,71247,JOSEPH MUNDA,TMC,23475,9.89
22,West Bengal,Kalimpong,RUDEN SADA LEPCHA,MALE,51.0,ST,IND,57344,862,58206,37.59,211896,2021,54336,SUVA PRADHAN,BJP,3870,1.83
23,West Bengal,Darjeeling,NEERAJ TAMANG ZIMBA,MALE,39.0,ST,BJP,67161,1746,68907,40.88,246663,2021,47631,KESHAV RAJ SHARMA,IND,21276,8.63
24,West Bengal,Kurseong,Bishnu Prasad Sharma (alias B.P. Bajgain),MALE,52.0,GENERAL,BJP,72153,1322,73475,41.86,236477,2021,57960,Tshering Lama,IND,15515,6.56
25,West Bengal,Matigara-Naxalbari,Anandamay Barman,MALE,38.0,SC,BJP,138819,966,139785,58.1,287565,2021,68937,Rajen Sundas,TMC,70848,24.64
26,West Bengal,Siliguri,Sankar Ghosh,MALE,48.0,GENERAL,BJP,88580,790,89370,50.03,228406,2021,53784,Dr. Omprakash Mishra,TMC,35586,15.58
27,West Bengal,Phansidewa,Durga Murmu,MALE,42.0,ST,BJP,105123,528,105651,50.89,240496,2021,77940,Chhotan Kisku,TMC,27711,11.52
28,West Bengal,Chopra,HAMIDUL RAHAMAN,MALE,61.0,GENERAL,TMC,123944,979,124923,61.2,247764,2021,60018,MD. SHAHIN AKHTER,BJP,64905,26.2
29,West Bengal,Islampur,ABDUL KARIM CHOWDHARY,MALE,74.0,GENERAL,TMC,99380,751,100131,58.91,219728,2021,62691,SAUMYAROOP MANDAL,BJP,37440,17.04
30,West Bengal,Goalpokhar,MD. GHULAM RABBANI,MALE,51.0,GENERAL,TMC,105083,566,105649,65.4,224633,2021,32135,MD. GHULAM SARWAR,BJP,73514,32.73
31,West Bengal,Chakulia,AZAD MINHAJUL ARFIN,MALE,49.0,GENERAL,TMC,85922,389,86311,49.78,233378,2021,52474,SACHIN PRASAD,BJP,33837,14.5
32,West Bengal,Karandighi,GOUTAM PAUL,MALE,42.0,GENERAL,TMC,115956,638,116594,54.7,262583,2021,79968,SUBHAS CHANDRA SINHA S/O: HARANARAYAN SINHA,BJP,36626,13.95
33,West Bengal,Hemtabad,SATYAJIT BARMAN,MALE,40.0,SC,TMC,115346,1079,116425,52.14,265318,2021,89210,CHANDIMA ROY,BJP,27215,10.26
34,West Bengal,Kaliaganj,SOUMEN ROY,MALE,45.0,SC,BJP,115577,1191,116768,48.71,282575,2021,94948,TAPAN DEB SINGHA,TMC,21820,7.72
35,West Bengal,Raiganj,KRISHNA KALYANI,MALE,42.0,GENERAL,BJP,78308,1467,79775,49.44,198780,2021,59027,AGARWAL KANAIA LAL,TMC,20748,10.44
36,West Bengal,Itahar,MOSARAF HUSSEN,MALE,40.0,GENERAL,TMC,113867,778,114645,59.1,229362,2021,70670,AMIT KUMAR KUNDU,BJP,43975,19.17
37,West Bengal,Kushmandi,REKHA ROY,FEMALE,34.0,SC,TMC,89185,783,89968,48.88,219921,2021,77384,RANJIT KUMAR ROY,BJP,12584,5.72
38,West Bengal,Kumarganj,TORAF HOSSAIN MANDAL,MALE,61.0,GENERAL,TMC,89117,646,89763,52.52,203986,2021,60396,Manas Sarkar,BJP,29367,14.4
39,West Bengal,Balurghat,Ashok Kumar Lahiri,MALE,69.0,GENERAL,BJP,70484,1645,72129,47.42,180390,2021,58693,Sekhar Dasgupta,TMC,13436,7.45
40,West Bengal,Tapan,BUDHRAI TUDU,MALE,48.0,ST,BJP,83172,1209,84381,45.29,220236,2021,82731,KALPANA KISKU,TMC,1650,0.75
41,West Bengal,Gangarampur,SATYENDRA NATH RAY,MALE,64.0,SC,BJP,87561,1163,88724,46.82,224040,2021,84132,GOUTAM DAS,TMC,4592,2.05
42,West Bengal,Harirampur,BIPLAB MITRA,MALE,69.0,GENERAL,TMC,95432,699,96131,51.23,228189,2021,73459,NILANJAN ROY,BJP,22672,9.94
43,West Bengal,Habibpur,JOYEL MURMU,MALE,37.0,ST,BJP,92982,1093,94075,47.52,249557,2021,74558,PRODIP BASKEY,TMC,19517,7.82
44,West Bengal,Gazole,CHINMOY DEB BARMAN,MALE,37.0,SC,BJP,99773,882,100655,45.5,267096,2021,98857,BASANTI BARMAN,TMC,1798,0.67
45,West Bengal,Chanchal,Nihar Ranjan Ghosh,MALE,66.0,GENERAL,TMC,115467,499,115966,58.08,249402,2021,48628,Dipankar Ram (Bankat),BJP,67338,27.0
46,West Bengal,Harischandrapur,TAJMUL HOSSAIN,MALE,63.0,GENERAL,TMC,121850,677,122527,60.31,252487,2021,45054,MD. MATIBUR RAHAMAN,BJP,77473,30.68
47,West Bengal,Malatipur,ABDUR RAHIM BOXI,MALE,57.0,GENERAL,TMC,125654,503,126157,68.02,231907,2021,34208,MOUSUMI DAS,BJP,91949,39.65
48,West Bengal,Ratua,Samar Mukherjee,MALE,79.0,GENERAL,TMC,129805,869,130674,59.63,282451,2021,55024,Abishek Singhania,BJP,75650,26.78
49,West Bengal,Manikchak,SABITRI MITRA,FEMALE,60.0,GENERAL,TMC,109085,1149,110234,53.26,253353,2021,76356,GOUR CHANDRA MANDAL,BJP,33878,13.37
50,West Bengal,Maldaha,Gopal Chandra Saha,MALE,44.0,SC,BJP,92364,1034,93398,45.23,245962,2021,77942,Ujjwal Kumar Chowdhury,TMC,15456,6.28
51,West Bengal,English Bazar,SREERUPA MITRA CHAUDHURY(NIRBHOY DIDI),FEMALE,56.0,GENERAL,BJP,105422,2333,107755,49.96,275296,2021,87656,KRISHNENDU NARAYAN CHOUDHURY,TMC,20099,7.3
52,West Bengal,Mothabari,YEASMIN SABINA,FEMALE,43.0,GENERAL,TMC,96392,1005,97397,59.7,196324,2021,40824,SHYAMCHAND GHOSH,BJP,56573,28.82
53,West Bengal,Sujapur,Md Abdul Ghani,MALE,71.0,GENERAL,TMC,151658,787,152445,73.44,251186,2021,22282,Isha Khan Choudhury,INC,130163,51.82
54,West Bengal,Baisnabnagar,CHANDANA SARKAR,FEMALE,40.0,GENERAL,TMC,82593,468,83061,39.81,246956,2021,80590,SWADHIN KUMAR SARKAR,BJP,2471,1.0
55,West Bengal,Farakka,MANIRUL ISLAM,MALE,45.0,GENERAL,TMC,102039,280,102319,54.89,227549,2021,42374,GHOSH HEMANTA,BJP,59945,26.34
56,West Bengal,Samserganj,Amirul Islam,MALE,49.0,GENERAL,TMC,96120,297,96417,51.13,235576,2021,70038,Zaidur Rahaman,INC,26379,11.2
57,West Bengal,Suti,EMANI BISWAS,MALE,46.0,GENERAL,TMC,126755,596,127351,58.87,265418,2021,56650,KOUSHIK DAS,BJP,70701,26.64
58,West Bengal,Jangipur,JAKIR HOSSAIN,MALE,48.0,GENERAL,TMC,136082,362,136444,68.82,255064,2021,43964,SUJIT DAS,BJP,92480,36.26
59,West Bengal,RaghunathGanj,Akhruzzaman,MALE,56.0,GENERAL,TMC,126467,367,126834,66.59,249559,2021,28521,Golam Modaswer,BJP,98313,39.39
60,West Bengal,Sagardighi,SUBRATA SAHA,MALE,71.0,GENERAL,TMC,94880,309,95189,50.95,236885,2021,44983,KHATUN MAFUJA,BJP,50206,21.19
61,West Bengal,Lalgola,ALI MOHAMMAD,MALE,57.0,GENERAL,TMC,107703,157,107860,56.64,234381,2021,47153,ABU HENA,INC,60707,25.9
62,West Bengal,Bhagawangola,IDRIS ALI,MALE,70.0,GENERAL,TMC,153430,365,153795,68.05,263765,2021,47787,MD. KAMAL HOSSAIN,CPI(M),106008,40.19
63,West Bengal,Raninagar,ABDUL SOUMIK HOSSAIN,MALE,38.0,GENERAL,TMC,134346,611,134957,60.79,256101,2021,55255,FIROZA BEGAM,INC,79702,31.12
64,West Bengal,Murshidabad,GOURI SANKAR GHOSH,MALE,48.0,GENERAL,BJP,95330,637,95967,41.86,268221,2021,93476,SHAONI SINGHA ROY,TMC,2491,0.93
65,West Bengal,Nabagram,KANAI CHANDRA MONDAL,MALE,67.0,SC,TMC,99722,733,100455,48.18,251378,2021,64922,MOHAN HALDER,BJP,35533,14.14
66,West Bengal,Khargram,ASHIS MARJIT,MALE,48.0,SC,TMC,92737,518,93255,50.15,228923,2021,60682,ADITYA MOULIK,BJP,32573,14.23
67,West Bengal,Burwan,JIBAN KRISHNA SAHA,MALE,44.0,SC,TMC,81320,570,81890,46.32,217500,2021,79141,AMIYA KUMAR DAS,BJP,2749,1.26
68,West Bengal,Kandi,APURBA SARKAR (DAVID),MALE,57.0,GENERAL,TMC,94594,805,95399,51.16,238973,2021,57319,GOUTAM ROY,BJP,38080,15.93
69,West Bengal,Bharatpur,HUMAYUN KABIR,MALE,61.0,GENERAL,TMC,95906,320,96226,50.9,243603,2021,53143,IMAN KALYAN MUKHERJEE,BJP,43083,17.69
70,West Bengal,Rejinagar,RABIUL ALAM CHOWDHURY,MALE,61.0,GENERAL,TMC,117625,869,118494,56.31,259771,2021,50226,ARABINDA BISWAS,BJP,68268,26.28
71,West Bengal,Beldanga,HASANUZZAMAN SK,MALE,47.0,GENERAL,TMC,112173,689,112862,55.19,252944,2021,59030,SUMIT GHOSH,BJP,53832,21.28
72,West Bengal,Baharampur,Subrata Maitra (Kanchan),MALE,54.0,GENERAL,BJP,87759,1581,89340,45.21,260667,2021,62488,Naru Gopal Mukherjee,TMC,26852,10.3
73,West Bengal,Hariharpara,NIAMOT SHEIKH,MALE,70.0,GENERAL,TMC,101982,678,102660,47.51,247421,2021,88594,MIR ALAMGIR (PALASH),INC,14066,5.69
74,West Bengal,Nowda,SAHINA MOMTAZ KHAN,FEMALE,55.0,GENERAL,TMC,117130,554,117684,58.16,247688,2021,43531,ANUPAM MANDAL,BJP,74153,29.94
75,West Bengal,Domkal,JAFIKUL ISLAM,MALE,45.0,GENERAL,TMC,127173,498,127671,56.45,266283,2021,80442,MD. MOSTAFIJUR RAHAMAN (RANA),CPI(M),47229,17.74
76,West Bengal,Jalangi,ABDUR RAZZAK,MALE,63.0,GENERAL,TMC,123096,744,123840,55.74,261258,2021,44564,SAIFUL ISLAM MOLLA,CPI(M),79276,30.34
77,West Bengal,Karimpur,Bimalendu Sinha Roy,MALE,63.0,GENERAL,TMC,108966,1945,110911,50.07,251039,2021,87336,Samarendranath Ghosh,BJP,23575,9.39
78,West Bengal,Tehatta,Tapas Kumar Saha,MALE,61.0,GENERAL,TMC,96249,1599,97848,44.86,252454,2021,90933,Ashutosh Paul,BJP,6915,2.74
79,West Bengal,Palashipara,Dr. Manik Bhattacharya,MALE,66.0,GENERAL,TMC,108872,1402,110274,54.22,244867,2021,58938,Bibhash Chandra Mandal,BJP,51336,20.96
80,West Bengal,Kaliganj,NASIRUDDIN AHAMED (LAL),MALE,67.0,GENERAL,TMC,109917,1779,111696,53.35,248358,2021,64709,ABHIJIT GHOSH,BJP,46987,18.92
81,West Bengal,Nakashipara,Kallol Khan,MALE,67.0,GENERAL,TMC,103666,1146,104812,50.01,247691,2021,83541,Santanu Dey,BJP,21271,8.59
82,West Bengal,Chapra,RUKBANUR RAHMAN,MALE,52.0,GENERAL,TMC,73187,679,73866,34.65,248014,2021,61748,JEBER SEKH,IND,12118,4.89
83,West Bengal,Krishnanagar Uttar,MUKUL ROY,MALE,67.0,GENERAL,BJP,107492,1865,109357,54.19,238220,2021,74268,KOUSHANI MUKHERJEE,TMC,35089,14.73
84,West Bengal,Nabadwip,PUNDARIKAKSHYA SAHA,MALE,66.0,GENERAL,TMC,100661,1509,102170,48.52,243159,2021,83599,SIDHARTHA SHANKAR NASKAR,BJP,18571,7.64
85,West Bengal,Krishnanagar Dakshin,UJJAL BISWAS,MALE,67.0,GENERAL,TMC,90842,896,91738,46.88,225118,2021,82433,MAHADEV SARKAR,BJP,9305,4.13
86,West Bengal,Santipur,JAGANNATH SARKAR,MALE,58.0,SC,BJP,108638,1084,109722,49.94,255619,2021,93844,AJOY DEY,TMC,15878,6.21
87,West Bengal,Ranaghat Uttar Paschim,PARTHASARATHI CHATTERJEE,MALE,67.0,GENERAL,BJP,112413,1224,113637,50.91,265846,2021,90509,SANKAR SINGHA,TMC,23128,8.7
88,West Bengal,Krishnaganj,ASHIS KUMAR BISWAS,MALE,54.0,SC,BJP,116397,1271,117668,50.73,273728,2021,96391,DR. TAPAS MANDAL,TMC,21277,7.77
89,West Bengal,Ranaghat Uttar Purba,ASHIM BISWAS,MALE,45.0,SC,BJP,115665,1121,116786,54.39,264929,2021,85004,SAMIR KUMAR PODDAR,TMC,31782,12.0
90,West Bengal,Ranaghat Dakshin,MUKUT MANI ADHIKARI,MALE,31.0,SC,BJP,118374,886,119260,49.34,285180,2021,102745,BARNALI DEY ROY,TMC,16515,5.79
91,West Bengal,Chakdaha,Bankim Chandra Ghosh,MALE,62.0,GENERAL,BJP,97955,1413,99368,46.86,245514,2021,87688,Subhankar Singha (Jishu),TMC,11680,4.76
92,West Bengal,Kalyani,AMBIKA ROY,MALE,48.0,SC,BJP,95995,1031,97026,44.04,257683,2021,94820,ANIRUDDHA BISWAS,TMC,2206,0.86
93,West Bengal,Haringhata,ASIM KUMAR SARKAR,MALE,60.0,SC,BJP,96970,696,97666,46.31,240606,2021,82466,NILIMA NAG (MALLICK),TMC,15200,6.32
94,West Bengal,Bagda,Biswajit Das,MALE,54.0,SC,BJP,107242,869,108111,49.41,277464,2021,98319,Paritosh Kumar Saha,TMC,9792,3.53
95,West Bengal,Bangaon Uttar,ASHOK KIRTANIA,MALE,47.0,SC,BJP,96676,1085,97761,47.65,251387,2021,87273,SHYAMAL ROY,TMC,10488,4.17
96,West Bengal,Bangaon Dakshin,SWAPAN MAJUMDER,MALE,39.0,SC,BJP,96862,966,97828,47.07,248278,2021,95824,ALO RANI SARKAR,TMC,2004,0.81
97,West Bengal,Gaighata,SUBRATA THAKUR,MALE,41.0,SC,BJP,99753,1055,100808,47.27,252053,2021,91230,NAROTTAM BISWAS,TMC,9578,3.8
98,West Bengal,Swarupnagar,BINA MONDAL,FEMALE,45.0,SC,TMC,99438,346,99784,47.11,246109,2021,64984,BRINDABAN SARKAR,BJP,34800,14.14
99,West Bengal,Baduria,ABDUR RAHIM QUAZI,MALE,53.0,GENERAL,TMC,109200,501,109701,51.53,243747,2021,53257,SUKALYAN BAIDYA,BJP,56444,23.16
100,West Bengal,Habra,JYOTI PRIYA MALLICK,MALE,63.0,GENERAL,TMC,89860,673,90533,44.34,242425,2021,86692,RAHUL (BISWAJIT) SINHA,BJP,3841,1.58
101,West Bengal,Ashoknagar,NARAYAN GOSWAMI,MALE,51.0,GENERAL,TMC,92573,1014,93587,43.18,257180,2021,70055,TANUJA CHAKRABORTY,BJP,23532,9.15
102,West Bengal,Amdanga,RAFIQUR RAHAMAN,MALE,60.0,GENERAL,TMC,88689,246,88935,42.0,242462,2021,63455,JOYDEV MANNA,BJP,25480,10.51
103,West Bengal,Bijpur,SUBODH ADHIKARY,MALE,48.0,GENERAL,TMC,65954,671,66625,47.9,192316,2021,53278,SUBHRANSHU ROY,BJP,13347,6.94
104,West Bengal,Naihati,PARTHA BHOWMICK,MALE,57.0,GENERAL,TMC,76925,828,77753,49.69,193930,2021,58898,PHALGUNI PATRA,BJP,18855,9.72
105,West Bengal,Bhatpara,PAWAN KUMAR SINGH,MALE,33.0,GENERAL,BJP,57050,194,57244,53.4,154037,2021,43557,JITENDRA SHAW (JITU),TMC,13687,8.89
106,West Bengal,Jagatdal,SOMENATH SHYAM ICHINI,MALE,50.0,GENERAL,TMC,86266,764,87030,48.01,233871,2021,68666,ARINDAM BHATTACHARYA,BJP,18364,7.85
107,West Bengal,Noapara,MANJU BASU,FEMALE,68.0,GENERAL,TMC,93515,688,94203,48.9,262153,2021,67493,SUNIL SINGH,BJP,26710,10.19
108,West Bengal,Barrackpur,RAJU CHAKRABORTY (RAJ),MALE,46.0,GENERAL,TMC,68441,446,68887,46.47,215356,2021,59665,CHANDRAMANI SHUKLA,BJP,9222,4.28
109,West Bengal,Khardaha,KAJAL SINHA,MALE,59.0,GENERAL,TMC,89413,394,89807,49.04,232619,2021,61667,SILBHADRA DATTA,BJP,28140,12.1
110,West Bengal,Dum Dum Uttar,CHANDRIMA BHATTACHARYA,FEMALE,66.0,GENERAL,TMC,95078,387,95465,44.79,273015,2021,66966,DR. ARCHANA MAJUMDAR,BJP,28499,10.44
111,West Bengal,Panihati,NIRMAL GHOSH,MALE,72.0,GENERAL,TMC,85994,501,86495,49.61,230748,2021,61318,SANMOY BANDYOPADHYAY,BJP,25177,10.91
112,West Bengal,Kamarhati,MADAN MITRA,MALE,66.0,GENERAL,TMC,73491,354,73845,51.17,197103,2021,38437,Anindya Banerjee,BJP,35408,17.96
113,West Bengal,Baranagar,TAPAS ROY,MALE,65.0,GENERAL,TMC,84756,859,85615,53.42,217774,2021,50468,PARNO MITTRA,BJP,35147,16.14
114,West Bengal,Dum Dum,BRATYA BASU,MALE,52.0,GENERAL,TMC,87543,456,87999,47.48,247858,2021,61268,BIMALSHANKAR NANDA,BJP,26731,10.78
115,West Bengal,Rajarhat New Town,TAPASH CHATTERJEE,MALE,59.0,GENERAL,TMC,126945,429,127374,54.22,289075,2021,70942,BHASKAR ROY S/O - DULAL ROY,BJP,56432,19.52
116,West Bengal,Bidhannagar,SUJIT BOSE S/O - LATE AJIT BOSE,MALE,58.0,GENERAL,TMC,75306,606,75912,46.85,243360,2021,67915,SABYA SACHI DUTTA S/O - LATE GOURI SANKAR DUTTA,BJP,7997,3.29
117,West Bengal,Rajarhat Gopalpur,ADITI MUNSHI,FEMALE,32.0,GENERAL,TMC,87219,431,87650,49.04,257447,2021,62354,SAMIK BHATTACHARYA,BJP,25296,9.83
118,West Bengal,Madhyamgram,RATHIN GHOSH,MALE,63.0,GENERAL,TMC,111610,1131,112741,48.93,272397,2021,64615,RAJASREE RAJBANSHI,BJP,48126,17.67
119,West Bengal,Barasat,CHIRANJEET CHAKRABARTI,MALE,70.0,GENERAL,TMC,103956,475,104431,46.27,279592,2021,80648,SANKAR CHATTERJEE,BJP,23783,8.51
120,West Bengal,Deganga,RAHIMA MONDAL,FEMALE,51.0,GENERAL,TMC,99686,419,100105,46.7,242652,2021,67568,KARIM ALI,RSSCMJP,32537,13.41
121,West Bengal,Haroa,ISLAM SK NURUL (HAJI),MALE,57.0,GENERAL,TMC,129743,655,130398,57.34,259206,2021,49420,KUTUBUDDIN FATHE,RSSCMJP,80978,31.24
122,West Bengal,Minakhan,USHA RANI MONDAL,FEMALE,47.0,SC,TMC,109471,347,109818,51.72,236528,2021,53988,JAYANTA MONDAL,BJP,55830,23.6
123,West Bengal,Sandeshkhali,SUKUMAR MAHATA,MALE,44.0,ST,TMC,111970,480,112450,54.64,238633,2021,72765,DR. BHASKAR SARDAR,BJP,39685,16.63
124,West Bengal,Basirhat Dakshin,DR. SAPTARSHI BANERJEE,MALE,40.0,GENERAL,TMC,115378,495,115873,49.15,275934,2021,91405,TARAK NATH GHOSH,BJP,24468,8.87
125,West Bengal,Basirhat Uttar,RAFIKUL ISLAM MONDAL,MALE,61.0,GENERAL,TMC,136617,599,137216,57.55,268034,2021,47865,MD BAIJID AMIN,RSSCMJP,89351,33.34
126,West Bengal,Hingalganj,DEBES MANDAL,MALE,56.0,SC,TMC,103666,1040,104706,53.78,228508,2021,79790,NEMAI DAS,BJP,24916,10.9
127,West Bengal,Gosaba,JAYANTA NASKAR,MALE,73.0,SC,TMC,104758,965,105723,53.99,230348,2021,82014,BARUN PRAMANIK (CHITTA),BJP,23709,10.29
128,West Bengal,Basanti,SHYAMAL MONDAL,MALE,56.0,SC,TMC,110508,945,111453,52.1,260681,2021,60811,RAMESH MAJHI,BJP,50642,19.43
129,West Bengal,Kultali,Ganesh Chandra Mondal,MALE,40.0,SC,TMC,116581,657,117238,51.57,265561,2021,70061,Mintu Halder,BJP,47177,17.77
130,West Bengal,Patharpratima,SAMIR KUMAR JANA,MALE,71.0,GENERAL,TMC,119590,591,120181,51.85,263675,2021,98047,ASIT KUMAR HALDAR,BJP,22134,8.39
131,West Bengal,Kakdwip,MANTURAM PAKHIRA,MALE,57.0,GENERAL,TMC,113940,553,114493,52.14,247826,2021,89191,DIPANKAR JANA,BJP,25302,10.21
132,West Bengal,Sagar,BANKIM CHANDRA HAZRA,MALE,71.0,GENERAL,TMC,127861,1139,129000,53.96,274715,2021,99154,KAMILA BIKASH,BJP,29846,10.86
133,West Bengal,Kulpi,JOGARANJAN HALDER,MALE,67.0,GENERAL,TMC,96029,548,96577,50.01,220144,2021,62759,PRANAB KUMAR MALLIK,BJP,33818,15.36
134,West Bengal,Raidighi,ALOKE JALDATA,MALE,54.0,SC,TMC,114651,1056,115707,48.47,273558,2021,80139,SANTANU BAPULI,BJP,35568,13.0
135,West Bengal,Mandirbazar,JOYDEB HALDER,MALE,45.0,SC,TMC,95309,525,95834,48.04,229129,2021,72342,DILIP KUMAR JATUA,BJP,23492,10.25
136,West Bengal,Jaynagar,BISWANATH DAS,MALE,55.0,SC,TMC,104527,425,104952,51.85,239968,2021,66269,RABIN SARDAR,BJP,38683,16.12
137,West Bengal,Baruipur Purba,BIVAS SARDAR (VOBO),MALE,45.0,SC,TMC,122337,906,123243,54.75,265091,2021,73602,CHANDAN MONDAL,BJP,49641,18.73
138,West Bengal,Canning Paschim,Paresh Ram Das,MALE,43.0,SC,TMC,110418,641,111059,50.86,257681,2021,75816,ARNAB ROY,BJP,35243,13.68
139,West Bengal,Canning Purba,SAOKAT MOLLA,MALE,49.0,GENERAL,TMC,121562,739,122301,52.54,262349,2021,69294,GAZI SHAHABUDDIN SIRAJI,RSSCMJP,53007,20.2
140,West Bengal,Baruipur Paschim,BIMAN BANERJEE,MALE,72.0,GENERAL,TMC,120184,822,121006,57.27,253749,2021,59096,DEBOPAM CHATTOPADHYAYA(BABU),BJP,61910,24.4
141,West Bengal,Magrahat Purba,NAMITA SAHA,FEMALE,68.0,SC,TMC,110331,614,110945,53.82,242530,2021,56866,CHANDAN KUMAR NASKAR,BJP,54079,22.3
142,West Bengal,Magrahat Paschim,GIAS UDDIN MOLLA,MALE,64.0,GENERAL,TMC,95974,1032,97006,49.93,229437,2021,50065,DHURJATI SAHA (MANAS),BJP,46941,20.46
143,West Bengal,Diamond Harbour,PANNALAL HALDER,MALE,70.0,GENERAL,TMC,98032,446,98478,43.69,255132,2021,81482,DIPAK KUMAR HALDER,BJP,16996,6.66
144,West Bengal,Falta,SANKAR KUMAR NASKAR,MALE,68.0,GENERAL,TMC,116077,1102,117179,56.35,236768,2021,76405,BIDHAN PARUI,BJP,40774,17.22
145,West Bengal,Satgachhia,MOHAN CHANDRA NASKAR,MALE,60.0,SC,TMC,117974,661,118635,50.37,270193,2021,95317,CHANDAN PAL,BJP,23318,8.63
146,West Bengal,Bishnupur,DILIP MONDAL,MALE,54.0,SC,TMC,135620,889,136509,57.46,278650,2021,77677,AGNISWAR NASKAR,BJP,58832,21.11
147,West Bengal,Sonarpur Dakshin,ARUNDHUTI MAITRA (LOVELY),FEMALE,30.0,GENERAL,TMC,108408,814,109222,46.92,288263,2021,83041,ANJANA BASU,BJP,26181,9.08
148,West Bengal,Bhangar,MD. NAWSAD SIDDIQUE,MALE,28.0,GENERAL,RSSCMJP,109063,174,109237,45.1,271897,2021,83086,KARIM REZAUL,TMC,26151,9.62
149,West Bengal,Kasba,AHMED JAVED KHAN,MALE,64.0,GENERAL,TMC,120957,415,121372,54.39,306266,2021,57750,DR. INDRANIL KHAN,BJP,63622,20.77
150,West Bengal,Jadavpur,DEBABRATA MAJUMDAR (MALAY),MALE,56.0,GENERAL,TMC,97152,948,98100,45.54,299818,2021,59231,Dr. SUJAN CHAKRABORTY,CPI(M),38869,12.96
151,West Bengal,Sonarpur Uttar,FIRDOUSI BEGUM,FEMALE,42.0,GENERAL,TMC,119272,685,119957,49.88,300330,2021,83867,RANJAN BAIDYA,BJP,36090,12.02
