ac_no,state,ac_name,candidate,gender,age,category,party,general_votes,postal_votes,total_votes,vote_pct,total_electors,year,runner_up_votes,runner_up_candidate,runner_up_party,win_margin,win_margin_pct
1,West Bengal,Mekliganj,ADHIKARY PARESH CHANDRA,MALE,68.0,SC,TMC,98790,548,99338,49.98,226465,2021,84653,DADHIRAM RAY,BJP,14685,6.48
2,West Bengal,Mathabhanga,Sushil Barman,MALE,55.0,SC,BJP,112146,1103,113249,52.87,248022,2021,87115,Girindra Nath Barman,TMC,26134,10.54
3,West Bengal,COOCHBEHAR UTTAR,SUKUMAR ROY,MALE,52.0,SC,BJP,118656,1827,120483,49.4,282988,2021,105868,BINAY KRISHNA BARMAN,TMC,14615,5.16
4,West Bengal,Coochbehar Dakshin,Nikhil Ranjan Dey,MALE,63.0,GENERAL,BJP,89966,1594,91560,46.83,233839,2021,86629,Avijit De Bhowmik,TMC,4931,2.11
5,West Bengal,Sitalkuchi,Baren Chandra Barman,MALE,47.0,SC,BJP,124120,835,124955,50.8,285260,2021,107140,Partha Pratim Ray,TMC,17815,6.25
6,West Bengal,Sitai,JAGADISH CHANDRA BARMA BASUNIA,MALE,57.0,SC,TMC,116850,1058,117908,49.42,290568,2021,107796,DIPAK KUMAR ROY,BJP,10112,3.48
7,West Bengal,Dinhata,NISITH PRAMANIK,MALE,35.0,SC,BJP,114361,1674,116035,47.6,299251,2021,115978,UDAYAN GUHA,TMC,57,0.02
8,West Bengal,Natabari,Mihir Goswami,MALE,67.0,GENERAL,BJP,110020,1723,111743,51.45,245040,2021,88303,Rabindra Nath Ghosh,TMC,23440,9.57
9,West Bengal,Tufanganj,Malati Rava Roy,FEMALE,56.0,SC,BJP,112609,1894,114503,54.69,234311,2021,83305,Pranab Kumar Dey,TMC,31198,13.31
10,West Bengal,Kumargram,MANOJ KUMAR ORAON,MALE,41.0,ST,BJP,110658,1316,111974,48.16,272924,2021,100973,LEOS KUJUR (URAO),TMC,11001,4.03
11,West Bengal,Kalchini,BISHAL LAMA,MALE,39.0,ST,BJP,102247,857,103104,52.65,247425,2021,74528,PASSANG LAMA,TMC,28576,11.55
12,West Bengal,Alipurduars,SUMAN KANJILAL,MALE,50.0,GENERAL,BJP,105517,1816,107333,48.19,260652,2021,91326,SOURAV CHAKRABORTY (GHUTIS),TMC,16007,6.14
13,West Bengal,Falakata,DIPAK BARMAN,MALE,46.0,SC,BJP,101833,1160,102993,46.71,254554,2021,99003,SUBHASH CHANDRA ROY,TMC,3990,1.57
14,West Bengal,Madarihat,MANOJ TIGGA,MALE,48.0,ST,BJP,89913,805,90718,54.35,212651,2021,61033,RAJESH LAKRA,TMC,29685,13.96
15,West Bengal,Dhupguri,BISHNU PADA RAY,MALE,58.0,SC,BJP,103533,1155,104688,45.65,263118,2021,100333,MITALI ROY,TMC,4355,1.66
16,West Bengal,Maynaguri,Kaushik Roy,MALE,37.0,SC,BJP,113928,1378,115306,48.84,264265,2021,103395,Manoj Roy,TMC,11911,4.51
17,West Bengal,Jalpaiguri,DR. PRADIP KUMAR BARMA,MALE,66.0,SC,TMC,93648,2020,95668,42.34,262500,2021,94727,SOUJIT SINGHA (PIKU),BJP,941,0.36
18,West Bengal,Rajganj,KHAGESWAR ROY,MALE,69.0,SC,TMC,103587,1054,104641,48.5,244163,2021,88868,SUPEN ROY,BJP,15773,6.46
