state,ac_no,ac_name,candidate,gender,age,category,party,general_votes,postal_votes,total_votes,vote_pct,total_electors,year
West Bengal,1,Mekliganj,ADHIKARY PARESH CHANDRA,MALE,68.0,SC,TMC,98790,548,99338,49.98,226465,2021
West Bengal,1,Mekliganj,DADHIRAM RAY,MALE,38.0,SC,BJP,83991,662,84653,42.59,226465,2021
West Bengal,1,Mekliganj,GOBINDA CHANDRA ROY,MALE,62.0,SC,AIFB,6758,95,6853,3.45,226465,2021
West Bengal,1,Mekliganj,NOTA,,,,NOTA,2442,5,2447,1.23,226465,2021
West Bengal,1,Mekliganj,RANJIT KUMAR ROY,MALE,37.0,SC,SUCI,1761,7,1768,0.89,226465,2021
West Bengal,1,Mekliganj,JYOTISH ROY,MALE,71.0,SC,BSP,1019,6,1025,0.52,226465,2021
West Bengal,1,Mekliganj,SUBHASH BARMAN,MALE,46.0,SC,IND,953,2,955,0.48,226465,2021
West Bengal,1,Mekliganj,KUKIL ADHIKARY,MALE,36.0,SC,KPPU,789,5,794,0.4,226465,2021
West Bengal,1,Mekliganj,GOLAPI ROY,FEMALE,33.0,SC,IND,508,3,511,0.26,226465,2021
West Bengal,1,Mekliganj,CHINU ROY BARMAN,FEMALE,31.0,SC,AMB,396,4,400,0.2,226465,2021
West Bengal,2,Mathabhanga,Sushil Barman,MALE,55.0,SC,BJP,112146,1103,113249,52.87,248022,2021
West Bengal,2,Mathabhanga,Girindra Nath Barman,MALE,66.0,SC,TMC,86470,645,87115,40.67,248022,2021
West Bengal,2,Mathabhanga,Ashok Barman,MALE,38.0,SC,CPI(M),7553,165,7718,3.6,248022,2021
West Bengal,2,Mathabhanga,NOTA,,,,NOTA,1431,12,1443,0.67,248022,2021
West Bengal,2,Mathabhanga,Kangsa Raj Barman,MALE,52.0,SC,KPPU,1282,7,1289,0.6,248022,2021
West Bengal,2,Mathabhanga,Haradhan Roy,MALE,34.0,SC,IND,1166,1,1167,0.54,248022,2021
West Bengal,2,Mathabhanga,Animesh Mohanta,MALE,40.0,SC,IND,1144,3,1147,0.54,248022,2021
West Bengal,2,Mathabhanga,Bikash Barman,MALE,35.0,SC,SUCI,582,7,589,0.27,248022,2021
West Bengal,2,Mathabhanga,Ratan Barman,MALE,56.0,SC,AMB,481,5,486,0.23,248022,2021
West Bengal,3,COOCHBEHAR UTTAR,SUKUMAR ROY,MALE,52.0,SC,BJP,118656,1827,120483,49.4,282988,2021
West Bengal,3,COOCHBEHAR UTTAR,BINAY KRISHNA BARMAN,MALE,60.0,SC,TMC,104823,1045,105868,43.4,282988,2021
West Bengal,3,COOCHBEHAR UTTAR,NAGENDRA NATH ROY,MALE,65.0,SC,AIFB,11232,243,11475,4.7,282988,2021
West Bengal,3,COOCHBEHAR UTTAR,NOTA,,,,NOTA,1555,15,1570,0.64,282988,2021
West Bengal,3,COOCHBEHAR UTTAR,ANIL CHANDRA ROY,MALE,53.0,SC,SUCI,1375,11,1386,0.57,282988,2021
West Bengal,3,COOCHBEHAR UTTAR,NARESH CHANDRA ROY,MALE,48.0,SC,IND,1374,5,1379,0.57,282988,2021
West Bengal,3,COOCHBEHAR UTTAR,SAMARESH RAY,MALE,39.0,SC,KPPU,1110,17,1127,0.46,282988,2021
