ac_no,state,ac_name,candidate,gender,age,category,party,general_votes,postal_votes,total_votes,vote_pct,total_electors,year,runner_up_votes,runner_up_candidate,runner_up_party,win_margin,win_margin_pct
208,West Bengal,MAHISADAL,Subhas Chandra Panja,MALE,68.0,GENERAL,BJP,120386,1198,121584,51.05,253752,2026,95346,Tilak Kumar Chakraborty,TMC,26238,10.34
209,West Bengal,HALDIA (SC),Pradip Kumar Bijali,MALE,55.0,SC,BJP,130881,1302,132183,55.2,252092,2026,83121,Tapasi Mondal,TMC,49062,19.46
210,West Bengal,NANDIGRAM,Adhikari Suvendu,MALE,57.0,GENERAL,BJP,125969,1332,127301,50.37,267174,2026,117636,Pabitra Kar,TMC,9665,3.62
211,West Bengal,CHANDIPUR,Pijush Kanti Das,MALE,70.0,GENERAL,BJP,124701,1346,126047,52.09,256364,2026,105777,Uttam Barik,TMC,20270,7.91
212,West Bengal,PATASHPUR,Tapan Maity,MALE,52.0,GENERAL,BJP,115401,1188,116589,50.24,247529,2026,107538,Pijus Kanti Panda,TMC,9051,3.66
213,West Bengal,KANTHI UTTAR,Sumita Sinha,FEMALE,58.0,GENERAL,BJP,128833,1255,130088,52.16,263871,2026,110033,Debasis Bhunya,TMC,20055,7.6
214,West Bengal,BHAGABANPUR,Santanu Pramanik,MALE,41.0,SC,BJP,129356,1230,130586,52.73,264293,2026,109708,Manab Kumar Parua,TMC,20878,7.9
215,West Bengal,KHEJURI (SC),Subrata Paik,MALE,58.0,SC,BJP,128593,1282,129875,54.96,248386,2026,97185,Rabin Chandra Mandal,TMC,32690,13.16
216,West Bengal,KANTHI DAKSHIN,Arup Kumar Das,MALE,68.0,GENERAL,BJP,116110,2109,118219,55.54,228412,2026,86747,Tarun Kumar Jana,TMC,31472,13.78
217,West Bengal,RAMNAGAR,Dr. Chandra Sekhar Mondal,MALE,42.0,GENERAL,BJP,130466,1342,131808,53.83,269545,2026,104869,Akhil Giri,TMC,26939,9.99
218,West Bengal,EGRA,Adhikari Dibyendu,MALE,49.0,GENERAL,BJP,141231,1439,142670,52.96,291907,2026,116978,Tarun Kumar Maity,TMC,25692,8.8
219,West Bengal,DANTAN,Ajit Kumar Jana,MALE,71.0,GENERAL,BJP,109458,801,110259,50.49,236370,2026,99883,Manik Maiti,TMC,10376,4.39
220,West Bengal,NAYAGRAM (ST),Amiya Kisku,MALE,48.0,ST,BJP,99691,1166,100857,48.56,227076,2026,94433,Dulal Murmu,TMC,6424,2.83
221,West Bengal,GOPIBALLAVPUR,Rajesh Mahata,MALE,51.0,GENERAL,BJP,113565,1118,114683,53.75,228063,2026,88008,Ajit Mahata,TMC,26675,11.7
222,West Bengal,JHARGRAM,Lakshmi Kanta Sau,MALE,48.0,GENERAL,BJP,119065,1812,120877,54.71,235603,2026,82730,Mongal Saren,TMC,38147,16.19
223,West Bengal,KESHIARY (ST),Bhadra Hemram,MALE,49.0,ST,BJP,112886,827,113713,50.8,238855,2026,97826,Ramjiban Mandi,TMC,15887,6.65
224,West Bengal,KHARAGPUR SADAR,Dilip Ghosh,MALE,61.0,GENERAL,BJP,88934,951,89885,55.6,180764,2026,59379,Pradip Sarkar,TMC,30506,16.88
225,West Bengal,NARAYANGARH,Giri Ramaprasad,MALE,51.0,GENERAL,BJP,115133,917,116050,51.45,239375,2026,95683,Pratibha Maiti,TMC,20367,8.51
226,West Bengal,SABANG,Amal Kumar Panda,MALE,73.0,GENERAL,BJP,126496,1287,127783,49.66,274846,2026,116647,Manas Ranjan Bhunia,TMC,11136,4.05
227,West Bengal,PINGLA,Swagata Manna,FEMALE,41.0,GENERAL,BJP,123210,979,124189,51.16,256233,2026,105709,Ajit Maity,TMC,18480,7.21
228,West Bengal,KHARAGPUR,Dinen Roy,MALE,70.0,GENERAL,TMC,97970,350,98320,47.14,218527,2026,95448,Tapan Bhuya,BJP,2872,1.31
229,West Bengal,DEBRA,Subhashis Om,MALE,41.0,GENERAL,BJP,113489,974,114463,52.67,232197,2026,85662,Rajib Banerjee,TMC,28801,12.4
230,West Bengal,DASPUR,Tapan Kumar Dutta,MALE,64.0,GENERAL,BJP,132251,820,133071,52.8,296256,2026,100937,Ashis Hudait,TMC,32134,10.85
231,West Bengal,GHATAL (SC),Sital Kapat,MALE,36.0,SC,BJP,130500,1050,131550,54.35,276794,2026,93893,Shyamali Sardar,TMC,37657,13.6
232,West Bengal,CHANDRAKONA (SC),Sukanta Dolui,MALE,41.0,SC,BJP,139736,781,140517,53.09,283081,2026,107036,Doloi Surjya Kanta,TMC,33481,11.83
233,West Bengal,GARBETA,Pradip Lodha,MALE,65.0,GENERAL,BJP,112849,903,113752,51.23,233655,2026,87527,Uttara Singha (hazra),TMC,26225,11.22
234,West Bengal,SALBONI,Biman Mahata,MALE,36.0,GENERAL,BJP,131680,1176,132856,49.86,279613,2026,117613,Srikanta Mahata,TMC,15243,5.45
235,West Bengal,KESHPUR (SC),Seuli Saha,FEMALE,56.0,SC,TMC,142633,490,143123,56.36,268213,2026,93018,Suvendu Samanta,BJP,50105,18.68
236,West Bengal,MEDINIPUR,Sankar Kumar Guchhait,MALE,42.0,GENERAL,BJP,130940,2101,133041,54.51,260610,2026,94294,Sujoy Hazra,TMC,38747,14.87
237,West Bengal,BINPUR (ST),Dr. Pranat Tudu,MALE,48.0,ST,BJP,105828,1410,107238,51.54,221524,2026,84261,Birbaha Hansda,TMC,22977,10.37
238,West Bengal,BANDWAN (ST),Labsen Baskey,MALE,50.0,ST,BJP,132724,1356,134080,50.37,286171,2026,104503,Rajib Lochan Saren,TMC,29577,10.34
239,West Bengal,BALARAMPUR,Jaladhar Mahato,MALE,40.0,GENERAL,BJP,117315,1106,118421,53.84,235710,2026,83370,Shantiram Mahato,TMC,35051,14.87
240,West Bengal,BAGHMUNDI,Rahidas Mahato,MALE,35.0,GENERAL,BJP,111562,1101,112663,48.95,250978,2026,71846,Sushanta Mahato,TMC,40817,16.26
241,West Bengal,JOYPUR,Biswajit Mahato,MALE,35.0,GENERAL,BJP,103904,764,104668,44.88,254082,2026,82450,Arjun Mahato,TMC,22218,8.74
242,West Bengal,PURULIA,Sudip Kumar Mukherjee,MALE,55.0,GENERAL,BJP,127078,1376,128454,55.69,252313,2026,79201,Sujoy Banerjee,TMC,49253,19.52
243,West Bengal,MANBAZAR (ST),Mayna Murmu,FEMALE,27.0,ST,BJP,119195,1292,120487,50.95,255913,2026,93204,Sandhya Rani Tudu,TMC,27283,10.66
244,West Bengal,KASHIPUR,Kamala Kanta Hansda,MALE,51.0,GENERAL,BJP,105349,1222,106571,50.28,229972,2026,85295,Soumen Beltharia,TMC,21276,9.25
245,West Bengal,PARA (SC),Nadiar Chand Bouri,MALE,48.0,SC,BJP,112838,650,113488,52.55,236360,2026,79767,Manik Chandra Bauri,TMC,33721,14.27
246,West Bengal,RAGHUNATHPUR (SC),Mamoni Bauri,FEMALE,44.0,SC,BJP,126532,1096,127628,54.44,254449,2026,83569,Hazari Bouri,TMC,44059,17.32
247,West Bengal,SALTORA (SC),Chandana Bauri,FEMALE,35.0,SC,BJP,114278,902,115180,52.72,233527,2026,83045,Uttam Bauri,TMC,32135,13.76
248,West Bengal,CHHATNA,Satyanarayan Mukhopadhyay,MALE,55.0,GENERAL,BJP,124356,1616,125972,56.76,242884,2026,78798,Swapan Kumar Mondal,TMC,47174,19.42
249,West Bengal,RANIBANDH (ST),Kshudiram Tudu,MALE,55.0,ST,BJP,129253,1892,131145,55.38,255198,2026,78876,Tanushree Hansda,TMC,52269,20.48
250,West Bengal,RAIPUR (ST),Kshetramohan Hansda,MALE,61.0,ST,BJP,109899,1544,111443,53.01,224609,2026,82701,Thakurmani Saren,TMC,28742,12.8
251,West Bengal,TALDANGRA,Souvik Patra,MALE,32.0,GENERAL,BJP,122512,2025,124537,56.62,236732,2026,74464,Falguni Singhababu,TMC,50073,21.15
252,West Bengal,BANKURA,Niladri Sekhar Dana,MALE,59.0,GENERAL,BJP,134629,2363,136992,57.24,261565,2026,82815,Dr. Anup Mandal,TMC,54177,20.71
253,West Bengal,BARJORA,Billeswar Sinha,MALE,46.0,GENERAL,BJP,124335,1084,125419,53.29,252205,2026,84109,Goutam Mishra (shyam),TMC,41310,16.38
254,West Bengal,ONDA,Amarnath Shakha,MALE,61.0,GENERAL,BJP,126997,1299,128296,52.09,263110,2026,96573,Subrata Dutta (gopi),TMC,31723,12.06
255,West Bengal,BISHNUPUR,Shukla Chatterjee,FEMALE,48.0,GENERAL,BJP,110012,1070,111082,53.54,220848,2026,80477,Tanmay Ghosh (bumba),TMC,30605,13.86
256,West Bengal,KATULPUR (SC),Lakshmi Kanta Majumdar,MALE,50.0,SC,BJP,124734,1507,126241,52.55,254394,2026,91874,Harakali Protiher,TMC,34367,13.51
257,West Bengal,INDUS (SC),Nirmal Kumar Dhara,MALE,44.0,SC,BJP,107812,921,108733,46.79,245791,2026,107833,Shyamali Roy Bagdi,TMC,900,0.37
258,West Bengal,SONAMUKHI (SC),Dibakar Gharami,MALE,48.0,SC,BJP,114523,1026,115549,52.08,236292,2026,86139,Kallol Saha,TMC,29410,12.45
259,West Bengal,KHANDAGHOSH (SC),Nabin Chandra Bag,MALE,50.0,SC,TMC,103489,694,104183,46.67,233783,2026,95899,Goutam Dhara,BJP,8284,3.54
260,West Bengal,BARDHAMAN DAKSHIN,Moumita Biswas Misra,FEMALE,42.0,GENERAL,BJP,105989,1765,107754,52.61,222117,2026,77284,Khokan Das,TMC,30470,13.72
261,West Bengal,RAINA (SC),Subhash Patra,MALE,37.0,SC,BJP,102622,865,103487,44.37,246255,2026,102653,Mandira Dalui,TMC,834,0.34
262,West Bengal,JAMALPUR (SC),Arun Halder,MALE,58.0,SC,BJP,99403,533,99936,46.53,225551,2026,88758,Bhutnath Malik,TMC,11178,4.96
263,West Bengal,MONTESWAR,Saikat Panja,MALE,34.0,GENERAL,BJP,95883,676,96559,47.29,216968,2026,81761,Chowdhuri Siddiqullah,TMC,14798,6.82
264,West Bengal,KALNA (SC),Siddhartha Majumdar,MALE,44.0,SC,BJP,109908,882,110790,51.96,226568,2026,82160,Debo Prasad Bag (poltu),TMC,28630,12.64
265,West Bengal,MEMARI,Manab Guha,MALE,49.0,GENERAL,BJP,105740,688,106428,46.78,239719,2026,99322,Rash Bihari Halder,TMC,7106,2.96
266,West Bengal,BARDHAMAN UTTAR (SC),Nisith Kumar Malik,MALE,57.0,SC,TMC,111898,790,112688,45.45,260510,2026,106228,Sanjoy Das,BJP,6460,2.48
267,West Bengal,BHATAR,Karfa Soumen,MALE,34.0,GENERAL,BJP,98237,583,98820,46.03,226841,2026,92292,Koner Shantanu,TMC,6528,2.88
268,West Bengal,PURBASTHALI DAKSHIN,Pran Krishna Tapadar,MALE,43.0,GENERAL,BJP,110203,801,111004,50.44,232857,2026,94342,Swapan Debnath,TMC,16662,7.16
269,West Bengal,PURBASTHALI UTTAR,Gopal Chattopadhyay,MALE,48.0,GENERAL,BJP,110535,844,111379,49.53,239934,2026,81153,Vasundhara Goswami,TMC,30226,12.6
270,West Bengal,KATWA,Krishna Ghosh,MALE,47.0,GENERAL,BJP,120945,1075,122020,50.94,257343,2026,86954,Rabindranath Chatterjee,TMC,35066,13.63
271,West Bengal,KETUGRAM,Anadi Ghosh,MALE,46.0,GENERAL,BJP,110519,585,111104,50.69,234702,2026,83494,Sekh Sahonawez,TMC,27610,11.76
272,West Bengal,MANGALKOT,Shishir Ghosh,MALE,48.0,GENERAL,BJP,103420,600,104020,47.44,232205,2026,91297,Apurba Chowdhury (achal),TMC,12723,5.48
273,West Bengal,AUSGRAM (SC),Kalita Maji,FEMALE,38.0,SC,BJP,107134,558,107692,47.68,236132,2026,95157,Shyama Prasanna Lohar,TMC,12535,5.31
274,West Bengal,GALSI (SC),Raju Patra,MALE,35.0,SC,BJP,110156,484,110640,47.62,244138,2026,100146,Alok Kumar Majhi,TMC,10494,4.3
275,West Bengal,PANDABESWAR,Jitendra Kumar Tewari,MALE,52.0,GENERAL,BJP,79888,613,80501,46.08,188499,2026,79103,Narendranath Chakraborty,TMC,1398,0.74
276,West Bengal,DURGAPUR PURBA,Chandra Sekhar Banerjee,MALE,47.0,GENERAL,BJP,108214,674,108888,50.69,237454,2026,77954,Pradip Mazumdar,TMC,30934,13.03
277,West Bengal,DURGAPUR PASCHIM,Lakshman Chandra Ghorui,MALE,54.0,GENERAL,BJP,113997,732,114729,52.93,238974,2026,77131,Kabi Dutta,TMC,37598,15.73
278,West Bengal,RANIGANJ,Partha Ghosh,MALE,47.0,GENERAL,BJP,96837,579,97416,49.58,216243,2026,79630,Kalobaran Mondal,TMC,17786,8.23
279,West Bengal,JAMURIA,Dr. Bijan Mukherjee,MALE,47.0,GENERAL,BJP,89534,616,90150,49.64,196678,2026,67636,Hareram Singh,TMC,22514,11.45
280,West Bengal,ASANSOL DAKSHIN,Agnimitra Paul,FEMALE,53.0,GENERAL,BJP,118809,773,119582,55.42,239405,2026,78743,Tapas Banerjee,TMC,40839,17.06
281,West Bengal,ASANSOL UTTAR,Krishnendu Mukherjee,MALE,51.0,GENERAL,BJP,103750,766,104516,49.63,237089,2026,92901,Moloy Ghatak,TMC,11615,4.9
282,West Bengal,KULTI,Ajay Kumar Poddar,MALE,68.0,GENERAL,BJP,102963,607,103570,54.44,210912,2026,77072,Abhijit Ghatak,TMC,26498,12.56
283,West Bengal,BARABANI,Arijit Roy,MALE,34.0,GENERAL,BJP,91101,676,91777,49.54,202090,2026,80055,Bidhan Upadhyay,TMC,11722,5.8
284,West Bengal,DUBRAJPUR (SC),Anup Kumar Saha,MALE,39.0,SC,BJP,116699,738,117437,53.33,231802,2026,89790,Naresh Chandra Bauri,TMC,27647,11.93
285,West Bengal,SURI,Jagannath Chattopadhyay,MALE,48.0,GENERAL,BJP,122617,1626,124243,52.09,252420,2026,95557,Ujjal Chatterjee,TMC,28686,11.36
286,West Bengal,BOLPUR,Chandranath Sinha,MALE,63.0,GENERAL,TMC,114126,789,114915,46.65,260376,2026,101727,Dilip Ghosh,BJP,13188,5.06
287,West Bengal,NANOOR (SC),Bidhan Chandra Majhi,MALE,45.0,SC,TMC,119234,676,119910,47.37,269616,2026,111788,Khokan Das,BJP,8122,3.01
288,West Bengal,LABPUR,Debasis Ojha (haku Da),MALE,58.0,GENERAL,BJP,105538,864,106402,47.71,235224,2026,102852,Abhijit Sinha (rana),TMC,3550,1.51
289,West Bengal,SAINTHIA (SC),Krishna Kanta Saha,MALE,39.0,SC,BJP,114099,955,115054,47.71,252442,2026,104748,Nilabati Saha,TMC,10306,4.08
290,West Bengal,MAYURESWAR,Dudh Kumar Mondal,MALE,70.0,GENERAL,BJP,106135,921,107056,50.15,226302,2026,86054,Abhijit Roy,TMC,21002,9.28
291,West Bengal,RAMPURHAT,Dhruba Saha,MALE,46.0,GENERAL,BJP,110792,1128,111920,47.89,245490,2026,87687,Asish Banerjee,TMC,24233,9.87
292,West Bengal,HANSAN,Fayezul Haque (kajal Sk),MALE,51.0,GENERAL,TMC,102653,570,103223,45.56,237652,2026,74925,Nikhil Banerjee,BJP,28298,11.91
293,West Bengal,NALHATI,Rajendra Prasad Singh(raju Singh),MALE,53.0,GENERAL,TMC,87338,406,87744,39.43,232063,2026,74298,Anil Kumar Singh,BJP,13446,5.79
294,West Bengal,MURARAI,Dr. Mosarraf Hossain,MALE,63.0,GENERAL,TMC,96512,390,96902,39.89,252203,2026,59197,Sanjibur Rahaman (bappa),INC,37705,14.95
