ac_no,state,ac_name,candidate,gender,age,category,party,general_votes,postal_votes,total_votes,vote_pct,total_electors,year,runner_up_votes,runner_up_candidate,runner_up_party,win_margin,win_margin_pct
97,West Bengal,GAIGHATA (SC),Subrata Thakur,MALE,45.0,SC,BJP,120123,1199,121322,57.99,223535,2026,73639,Narottam Biswas,TMC,47683,21.33
98,West Bengal,SWARUPNAGAR (SC),Bina Mondal,FEMALE,50.0,SC,TMC,94147,666,94813,43.47,229583,2026,78796,Tarak Saha,BJP,16017,6.98
99,West Bengal,BADURIA,Burhanul Mukaddim (liton),MALE,48.0,GENERAL,TMC,102675,659,103334,45.45,236598,2026,63273,Sukriti Kumar Sarkar,BJP,40061,16.93
100,West Bengal,HABRA,Debdas Mondal,MALE,58.0,GENERAL,BJP,103750,895,104645,52.66,209653,2026,73183,Jyoti Priya Mallick,TMC,31462,15.01
101,West Bengal,ASHOKNAGAR,Dr. Sumay Hira,MALE,67.0,GENERAL,BJP,95941,866,96807,44.05,229948,2026,87399,Narayan Goswami,TMC,9408,4.09
102,West Bengal,AMDANGA,Mohammad Kasem Siddique,MALE,46.0,GENERAL,TMC,81318,352,81670,38.25,221501,2026,78675,Arindam Dey,BJP,2995,1.35
103,West Bengal,BIJPUR,Sudipta Das,MALE,41.0,GENERAL,BJP,71130,669,71799,49.56,158512,2026,58456,Subodh Adhikary,TMC,13343,8.42
104,West Bengal,NAIHATI,Sumitro Chatterjee,MALE,62.0,GENERAL,BJP,76696,788,77484,49.15,171184,2026,67054,Sanat Dey,TMC,10430,6.09
105,West Bengal,BHATPARA,Pawan Kumar Singh,MALE,38.0,GENERAL,BJP,61277,406,61683,58.02,117493,2026,38876,Amit Gupta,TMC,22807,19.41
106,West Bengal,JAGATDAL,Dr. Rajesh Kumar,MALE,60.0,GENERAL,BJP,93541,810,94351,51.5,196204,2026,73442,Somenath Shyam Ichini,TMC,20909,10.66
107,West Bengal,NOAPARA,Arjun Singh,MALE,64.0,GENERAL,BJP,93483,932,94415,48.37,214216,2026,76759,Trinankur Bhattacharjee,TMC,17656,8.24
108,West Bengal,BARRACKPUR,Kaustuv Bagchi,MALE,35.0,GENERAL,BJP,77559,907,78466,50.65,171212,2026,62644,Raj Chakraborty (raju),TMC,15822,9.24
109,West Bengal,KHARDAHA,Kalyan Chakraborti,MALE,59.0,GENERAL,BJP,97053,699,97752,49.75,210105,2026,73266,Devadeep Purohit,TMC,24486,11.65
110,West Bengal,DUM DUM UTTAR,Sourav Sikdar,MALE,48.0,GENERAL,BJP,102610,674,103284,46.24,240505,2026,76880,Chandrima Bhattacharya,TMC,26404,10.98
111,West Bengal,PANIHATI,Ratna Debnath,FEMALE,54.0,GENERAL,BJP,87279,698,87977,50.28,189867,2026,59141,Tirthankar Ghosh,TMC,28836,15.19
112,West Bengal,KAMARHATI,Madan Mitra,MALE,71.0,GENERAL,TMC,64494,323,64817,43.71,162833,2026,59171,Arup Choudhury (pulak),BJP,5646,3.47
113,West Bengal,BARANAGAR,Sajal Ghosh,MALE,53.0,GENERAL,BJP,81009,721,81730,48.26,186656,2026,64774,Sayantika Banerjee,TMC,16956,9.08
114,West Bengal,DUM DUM,Arijit Bakshi,MALE,41.0,GENERAL,BJP,98252,929,99181,50.07,217724,2026,73908,Bratyabrata Basu,TMC,25273,11.61
115,West Bengal,RAJARHAT NEW TOWN,Piyush Kanodia,MALE,43.0,GENERAL,BJP,106077,487,106564,42.19,267716,2026,106248,Tapash Chatterjee,TMC,316,0.12
116,West Bengal,BIDHANNAGAR,Sharadwat Mukherjee,MALE,56.0,GENERAL,BJP,97187,792,97979,55.2,203960,2026,60649,Sujit Bose,TMC,37330,18.3
117,West Bengal,RAJARHAT GOPALPUR,Tarunjyoti Tewari,MALE,37.0,GENERAL,BJP,100466,811,101277,51.74,218980,2026,73520,Aditi Munshi,TMC,27757,12.68
118,West Bengal,MADHYAMGRAM,Rathin Ghosh,MALE,68.0,GENERAL,TMC,95348,647,95995,41.21,244690,2026,93596,Anindya Banerjee,BJP,2399,0.98
119,West Bengal,BARASAT,Sankar Chatterjee,MALE,60.0,GENERAL,BJP,120837,1334,122171,51.64,252684,2026,87613,Sabyasachi Dutta,TMC,34558,13.68
120,West Bengal,DEGANGA,Anisur Rahaman Bidesh,MALE,38.0,GENERAL,TMC,100695,419,101114,43.31,240229,2026,83296,Md Mofidul Hoque Sahaji Mintu,AISF,17818,7.42
121,West Bengal,HAROA,Abdul Matin Muhammad,MALE,52.0,GENERAL,TMC,117296,295,117591,49.52,243479,2026,68250,Piyarul Islam,AISF,49341,20.26
122,West Bengal,MINAKHAN (SC),Usha Rani Mondal,FEMALE,52.0,SC,TMC,91831,248,92079,42.66,222038,2026,59787,Rudrendra Patra,BJP,32292,14.54
123,West Bengal,SANDESHKHALI (ST),Sanat Sardar,MALE,47.0,ST,BJP,106677,512,107189,49.58,223320,2026,89679,Jharna Sardar,TMC,17510,7.84
124,West Bengal,BASIRHAT DAKSHIN,Surajit Mitra (badal),MALE,52.0,GENERAL,TMC,112532,433,112965,45.09,260723,2026,103421,Dr. Sourya Banerjee,BJP,9544,3.66
125,West Bengal,BASIRHAT UTTAR,Md. Tauseffur Rahman,MALE,35.0,GENERAL,TMC,114964,539,115503,48.42,245638,2026,58233,Md. Musa Karemulla,AISF,57270,23.31
126,West Bengal,HINGALGANJ (SC),Rekha Patra,FEMALE,32.0,SC,BJP,99440,767,100207,48.39,215357,2026,94786,Ananda Sarkar,TMC,5421,2.52
127,West Bengal,GOSABA (SC),Bikarna Naskar,MALE,41.0,SC,BJP,107630,862,108492,51.34,221427,2026,92392,Subrata Mondal,TMC,16100,7.27
128,West Bengal,BASANTI (SC),Nilima Mistry Bishal,FEMALE,43.0,SC,TMC,126957,538,127495,54.99,240362,2026,71314,Bikash Sardar,BJP,56181,23.37
129,West Bengal,KULTALI (SC),Ganesh Chandra Mondal,MALE,46.0,SC,TMC,145900,535,146435,57.75,261761,2026,87159,Madhabi Mahalder,BJP,59276,22.65
130,West Bengal,PATHARPRATIMA,Samir Kumar Jana,MALE,76.0,GENERAL,TMC,116564,600,117164,47.62,257862,2026,112291,Asit Kumar Haldar,BJP,4873,1.89
131,West Bengal,KAKDWIP,Dipankar Jana,MALE,56.0,GENERAL,BJP,108774,599,109373,47.29,241891,2026,104613,Manturam Pakhira,TMC,4760,1.97
132,West Bengal,SAGAR,Sumanta Mandal,MALE,39.0,SC,BJP,126801,1001,127802,49.52,274488,2026,119921,Bankim Chandra Hazra,TMC,7881,2.87
133,West Bengal,KULPI,Barnali Dhara,FEMALE,51.0,GENERAL,TMC,90858,408,91266,43.94,216699,2026,80883,Abani Naskar,BJP,10383,4.79
134,West Bengal,RAIDIGHI,Tapas Mondal S/o-shibprasad Mondal,MALE,65.0,GENERAL,TMC,118308,683,118991,46.16,267926,2026,113034,Palash Rana,BJP,5957,2.22
135,West Bengal,MANDIRBAZAR (SC),Joydeb Halder S/o - Kartick Chandra Halder,MALE,50.0,SC,TMC,93197,489,93686,43.94,222142,2026,91691,Mallika Paik W/o - Ashok Paik,BJP,1995,0.9
136,West Bengal,JAYNAGAR (SC),Biswanath Das,MALE,60.0,SC,TMC,107742,452,108194,49.38,227343,2026,81844,Aloke Halder,BJP,26350,11.59
137,West Bengal,BARUIPUR PURBA (SC),Bivas Sardar,MALE,48.0,SC,TMC,120528,459,120987,50.98,245159,2026,89172,Tumpa Sardar,BJP,31815,12.98
138,West Bengal,CANNING PASCHIM (SC),Paresh Ram Das,MALE,48.0,SC,TMC,120029,519,120548,52.26,238344,2026,79883,Prasanta Bayen,BJP,40665,17.06
139,West Bengal,CANNING PURBA,Md Baharul Islam,MALE,38.0,GENERAL,TMC,148207,480,148687,61.53,246698,2026,56733,Arabul Islam,AISF,91954,37.27
140,West Bengal,BARUIPUR PASCHIM,Biman Banerjee,MALE,77.0,GENERAL,TMC,103909,872,104781,47.41,233239,2026,86919,Biswajit Paul,BJP,17862,7.66
141,West Bengal,MAGRAHAT PURBA (SC),Sarmistha Purkait,FEMALE,33.0,SC,TMC,107933,479,108412,48.8,232718,2026,76805,Uttam Kumar Banik,BJP,31607,13.58
142,West Bengal,MAGRAHAT PASCHIM,Md. Samim Ahamed Molla,MALE,38.0,GENERAL,TMC,113263,571,113834,55.43,217102,2026,55331,Goursundar Ghosh,BJP,58503,26.95
143,West Bengal,DIAMOND HARBOUR,Panna Lal Halder,MALE,75.0,GENERAL,TMC,118678,642,119320,51.38,245251,2026,88054,Dipak Kumar Halder,BJP,31266,12.75
145,West Bengal,SATGACHHIA,Agniswar Naskar,MALE,47.0,GENERAL,BJP,110412,611,111023,46.38,256303,2026,110622,Somashree Betal,TMC,401,0.16
146,West Bengal,BISHNUPUR (SC),Dilip Mondal,MALE,58.0,SC,TMC,132051,596,132647,52.93,268346,2026,95722,Abhijit Sardar,BJP,36925,13.76
147,West Bengal,SONARPUR DAKSHIN,Rupa Ganguly,FEMALE,59.0,GENERAL,BJP,126968,2002,128970,52.34,261143,2026,93188,Arundhuti Maitra(lovely),TMC,35782,13.7
148,West Bengal,BHANGAR,Md Nawsad Siddique,MALE,33.0,GENERAL,AISF,126298,257,126555,47.33,272748,2026,94467,Saokat Molla,TMC,32088,11.76
149,West Bengal,KASBA,Ahmed Javed Khan,MALE,69.0,GENERAL,TMC,117437,456,117893,48.88,265693,2026,96919,Banerjee Sandip,BJP,20974,7.89
150,West Bengal,JADAVPUR,Sarbori Mukherjee,FEMALE,56.0,GENERAL,BJP,105224,975,106199,45.96,260915,2026,78483,Debabrata Majumdar (malay),TMC,27716,10.62
151,West Bengal,SONARPUR UTTAR,Debasish Dhar,MALE,50.0,GENERAL,BJP,118980,844,119824,46.73,273312,2026,110017,Firdousi Begam,TMC,9807,3.59
152,West Bengal,TOLLYGANJ,Papia Adhikary,FEMALE,64.0,GENERAL,BJP,87693,714,88407,42.99,230098,2026,82394,Aroop Biswas,TMC,6013,2.61
153,West Bengal,BEHALA PURBA,Sankar Sikder,MALE,55.0,GENERAL,BJP,114598,904,115502,49.22,259876,2026,90365,Subhasish Chakraborty,TMC,25137,9.67
154,West Bengal,BEHALA PASCHIM,Dr. Indranil Khan,MALE,37.0,GENERAL,BJP,112104,1067,113171,47.39,266349,2026,88472,Ratna Chatterjee,TMC,24699,9.27
155,West Bengal,MAHESHTALA,Subhasis Das,MALE,49.0,GENERAL,TMC,116507,304,116811,50.83,243529,2026,83898,Tamanath Bhowmick,BJP,32913,13.52
156,West Bengal,BUDGE BUDGE,Ashok Kumar Deb,MALE,76.0,GENERAL,TMC,126425,666,127091,58.27,230052,2026,80241,Dr Tarun Kumar Adak,BJP,46850,20.36
157,West Bengal,METIABURUZ,Abdul Khaleque Molla,MALE,81.0,GENERAL,TMC,124040,190,124230,68.99,189557,2026,36351,Bir Bahadur Singh,BJP,87879,46.36
158,West Bengal,KOLKATA PORT,Firhad Hakim,MALE,67.0,GENERAL,TMC,100881,345,101226,65.43,171825,2026,45146,Rakesh Singh,BJP,56080,32.64
159,West Bengal,BHABANIPUR,Adhikari Suvendu,MALE,57.0,GENERAL,BJP,73463,454,73917,53.02,160563,2026,58812,Mamata Banerjee,TMC,15105,9.41
160,West Bengal,RASHBEHARI,Dasgupta Swapan,MALE,70.0,GENERAL,BJP,73398,725,74123,53.4,158586,2026,53258,Debasish Kumar (deba),TMC,20865,13.16
161,West Bengal,BALLYGUNGE,Sobhandeb Chattopadhyay,MALE,82.0,GENERAL,TMC,108071,410,108481,64.81,188988,2026,47005,Shatorupa,BJP,61476,32.53
162,West Bengal,CHOWRANGEE,Bandyopadhyay Nayna,FEMALE,57.0,GENERAL,TMC,62720,218,62938,57.15,126715,2026,40936,Santosh Kumar Pathak,BJP,22002,17.36
163,West Bengal,ENTALLY,Sandipan Saha,MALE,47.0,GENERAL,TMC,94244,183,94427,57.16,179088,2026,60421,Dr. Priyanka Tibrewal,BJP,34006,18.99
164,West Bengal,BELEGHATA,Kunal Kumar Ghosh,MALE,58.0,GENERAL,TMC,93333,424,93757,53.85,190746,2026,65181,Partha Chaudhury,BJP,28576,14.98
165,West Bengal,JORASANKO,Vijay Ojha,MALE,52.0,GENERAL,BJP,52653,215,52868,49.48,122746,2026,47071,Vijay Upadhyay,TMC,5797,4.72
166,West Bengal,SHYAMPUKUR,Purnima Chakraborty,FEMALE,42.0,GENERAL,BJP,59993,255,60248,51.6,131890,2026,45615,Shashi Panja,TMC,14633,11.09
167,West Bengal,MANIKTALA,Tapas Roy,MALE,70.0,GENERAL,BJP,75944,426,76370,50.67,165961,2026,60726,Shrreya Pande,TMC,15644,9.43
168,West Bengal,KASHIPUR-BELGACHHIA,Ritesh Tiwari,MALE,54.0,GENERAL,BJP,67856,512,68368,45.41,168019,2026,66717,Atin Ghosh,TMC,1651,0.98
169,West Bengal,BALLY,Sanjay Kumar Singh,MALE,57.0,GENERAL,BJP,57216,423,57639,48.91,133780,2026,45642,Kailash Kumar Mishra,TMC,11997,8.97
170,West Bengal,HOWRAH UTTAR,Umesh Rai,MALE,48.0,GENERAL,BJP,67166,373,67539,50.76,150110,2026,56289,Gautam Chowdhury,TMC,11250,7.49
171,West Bengal,HOWRAH MADHYA,Arup Roy,MALE,70.0,GENERAL,TMC,95416,532,95948,49.6,214910,2026,79865,Biplab Kumar Mandal,BJP,16083,7.48
172,West Bengal,SHIBPUR,Rudranil Ghosh,MALE,53.0,GENERAL,BJP,88972,643,89615,49.42,195103,2026,73557,Dr. Rana Chatterjee,TMC,16058,8.23
173,West Bengal,HOWRAH DAKSHIN,Nandita Chowdhury,FEMALE,65.0,GENERAL,TMC,100008,532,100540,45.28,240748,2026,92712,Shyamal Kumar Hati,BJP,7828,3.25
174,West Bengal,SANKRAIL (SC),Priya Paul,FEMALE,55.0,SC,TMC,105157,255,105412,45.99,240335,2026,88672,Barnali Dhali Naskar,BJP,16740,6.97
175,West Bengal,PANCHLA,Gulsan Mullick,MALE,68.0,GENERAL,TMC,123547,420,123967,52.72,248515,2026,85647,Ranjan Paul,BJP,38320,15.42
