ac_no,ac_name,district,region,reservation,winner_2021,winner_2026,winner_name_2021,winner_name_2026,margin_2021,margin_2026,margin_pct_2021,margin_pct_2026,roll_2021,roll_2026,turnout_2021,turnout_2026,roll_change_pct,turnout_change_pts,outcome
116,BIDHANNAGAR,North 24 Parganas,North 24 Parganas,GEN,TMC,BJP,SUJIT BOSE S/O - LATE AJIT BOSE,Sharadwat Mukherjee,7997,37330.0,4.94,21.03,243360,203960.0,66.58,87.02,-16.19,20.44,TMC to BJP
117,RAJARHAT GOPALPUR,North 24 Parganas,North 24 Parganas,GEN,TMC,BJP,ADITI MUNSHI,Tarunjyoti Tewari,25296,27757.0,14.15,14.18,257447,218980.0,69.42,89.38,-14.94,19.96,TMC to BJP
118,MADHYAMGRAM,North 24 Parganas,North 24 Parganas,GEN,TMC,TMC,RATHIN GHOSH,Rathin Ghosh,48126,2399.0,20.89,1.03,272397,244690.0,84.59,95.19,-10.17,10.6,Held
119,BARASAT,North 24 Parganas,North 24 Parganas,GEN,TMC,BJP,CHIRANJEET CHAKRABARTI,Sankar Chatterjee,23783,34558.0,10.54,14.61,279592,252684.0,80.73,93.64,-9.62,12.91,TMC to BJP
120,DEGANGA,North 24 Parganas,North 24 Parganas,GEN,TMC,TMC,RAHIMA MONDAL,Anisur Rahaman Bidesh,32537,17818.0,15.18,7.63,242652,240229.0,88.35,97.19,-1.0,8.84,Held
121,HAROA,North 24 Parganas,North 24 Parganas,GEN,TMC,TMC,ISLAM SK NURUL (HAJI),Abdul Matin Muhammad,80978,49341.0,35.61,20.78,259206,243479.0,87.73,97.53,-6.07,9.8,Held
122,MINAKHAN,North 24 Parganas,North 24 Parganas,SC,TMC,TMC,USHA RANI MONDAL,Usha Rani Mondal,55830,32292.0,26.29,14.96,236528,222038.0,89.78,97.21,-6.13,7.43,Held
123,SANDESHKHALI,North 24 Parganas,North 24 Parganas,ST,TMC,BJP,SUKUMAR MAHATA,Sanat Sardar,39685,17510.0,19.28,8.1,238633,223320.0,86.24,96.8,-6.42,10.56,TMC to BJP
124,BASIRHAT DAKSHIN,North 24 Parganas,North 24 Parganas,GEN,TMC,TMC,DR. SAPTARSHI BANERJEE,Surajit Mitra (badal),24468,9544.0,10.38,3.81,275934,260723.0,85.43,96.09,-5.51,10.66,Held
125,BASIRHAT UTTAR,North 24 Parganas,North 24 Parganas,GEN,TMC,TMC,RAFIKUL ISLAM MONDAL,Md. Tauseffur Rahman,89351,57270.0,37.48,24.01,268034,245638.0,88.95,97.12,-8.36,8.17,Held
126,HINGALGANJ,North 24 Parganas,North 24 Parganas,SC,TMC,BJP,DEBES MANDAL,Rekha Patra,24916,5421.0,12.8,2.62,228508,215357.0,85.2,96.15,-5.76,10.95,TMC to BJP
127,GOSABA,South 24 Parganas,South 24 Parganas,SC,TMC,BJP,JAYANTA NASKAR,Bikarna Naskar,23709,16100.0,12.11,7.62,230348,221427.0,85.01,95.44,-3.87,10.43,TMC to BJP
128,BASANTI,South 24 Parganas,South 24 Parganas,SC,TMC,TMC,SHYAMAL MONDAL,Nilima Mistry Bishal,50642,56181.0,23.67,24.23,260681,240362.0,82.06,96.46,-7.79,14.4,Held
129,KULTALI,South 24 Parganas,South 24 Parganas,SC,TMC,TMC,Ganesh Chandra Mondal,Ganesh Chandra Mondal,47177,59276.0,20.75,23.38,265561,261761.0,85.61,96.86,-1.43,11.25,Held
130,PATHARPRATIMA,South 24 Parganas,South 24 Parganas,GEN,TMC,TMC,SAMIR KUMAR JANA,Samir Kumar Jana,22134,4873.0,9.55,1.98,263675,257862.0,87.91,95.42,-2.2,7.51,Held
131,KAKDWIP,South 24 Parganas,South 24 Parganas,GEN,TMC,BJP,MANTURAM PAKHIRA,Dipankar Jana,25302,4760.0,11.52,2.06,247826,241891.0,88.61,95.62,-2.39,7.01,TMC to BJP
132,SAGAR,South 24 Parganas,South 24 Parganas,GEN,TMC,BJP,BANKIM CHANDRA HAZRA,Sumanta Mandal,29846,7881.0,12.48,3.05,274715,274488.0,87.02,94.03,-0.08,7.01,TMC to BJP
133,KULPI,South 24 Parganas,South 24 Parganas,GEN,TMC,TMC,JOGARANJAN HALDER,Barnali Dhara,33818,10383.0,17.51,5.0,220144,216699.0,87.73,95.85,-1.56,8.12,Held
134,RAIDIGHI,South 24 Parganas,South 24 Parganas,GEN,TMC,TMC,ALOKE JALDATA,Tapas Mondal S/o-shibprasad Mondal,35568,5957.0,14.9,2.31,273558,267926.0,87.26,96.21,-2.06,8.95,Held
135,MANDIRBAZAR,South 24 Parganas,South 24 Parganas,SC,TMC,TMC,JOYDEB HALDER,Joydeb Halder S/o - Kartick Chandra Halder,23492,1995.0,11.78,0.94,229129,222142.0,87.06,95.99,-3.05,8.93,Held
136,JAYNAGAR,South 24 Parganas,South 24 Parganas,SC,TMC,TMC,BISWANATH DAS,Biswanath Das,38683,26350.0,19.11,12.03,239968,227343.0,84.36,96.38,-5.26,12.02,Held
137,BARUIPUR PURBA,South 24 Parganas,South 24 Parganas,SC,TMC,TMC,BIVAS SARDAR (VOBO),Bivas Sardar,49641,31815.0,22.05,13.41,265091,245159.0,84.92,96.8,-7.52,11.88,Held
138,CANNING PASCHIM,South 24 Parganas,South 24 Parganas,SC,TMC,TMC,Paresh Ram Das,Paresh Ram Das,35243,40665.0,16.14,17.63,257681,238344.0,84.74,96.79,-7.5,12.05,Held
139,CANNING PURBA,South 24 Parganas,South 24 Parganas,GEN,TMC,TMC,SAOKAT MOLLA,Md Baharul Islam,53007,91954.0,22.77,38.05,262349,246698.0,88.72,97.96,-5.97,9.24,Held
140,BARUIPUR PASCHIM,South 24 Parganas,South 24 Parganas,GEN,TMC,TMC,BIMAN BANERJEE,Biman Banerjee,61910,17862.0,29.3,8.08,253749,233239.0,83.27,94.77,-8.08,11.5,Held
141,MAGRAHAT PURBA,South 24 Parganas,South 24 Parganas,SC,TMC,TMC,NAMITA SAHA,Sarmistha Purkait,54079,31607.0,26.23,14.23,242530,232718.0,85.0,95.47,-4.05,10.47,Held
142,MAGRAHAT PASCHIM,South 24 Parganas,South 24 Parganas,GEN,TMC,TMC,GIAS UDDIN MOLLA,Md. Samim Ahamed Molla,46941,58503.0,24.16,28.49,229437,217102.0,84.68,94.59,-5.38,9.91,Held
143,DIAMOND HARBOUR,South 24 Parganas,South 24 Parganas,GEN,TMC,TMC,PANNALAL HALDER,Panna Lal Halder,16996,31266.0,7.54,13.46,255132,245251.0,88.35,94.69,-3.87,6.34,Held
145,SATGACHHIA,South 24 Parganas,South 24 Parganas,GEN,TMC,BJP,MOHAN CHANDRA NASKAR,Agniswar Naskar,23318,401.0,9.9,0.17,270193,256303.0,87.18,93.39,-5.14,6.21,TMC to BJP
146,BISHNUPUR,South 24 Parganas,South 24 Parganas,SC,TMC,TMC,DILIP MONDAL,Dilip Mondal,58832,36925.0,24.76,14.74,278650,268346.0,85.26,93.38,-3.7,8.12,Held
147,SONARPUR DAKSHIN,South 24 Parganas,South 24 Parganas,GEN,TMC,BJP,ARUNDHUTI MAITRA (LOVELY),Rupa Ganguly,26181,35782.0,11.25,14.52,288263,261143.0,80.76,94.35,-9.41,13.59,TMC to BJP
148,BHANGAR,South 24 Parganas,South 24 Parganas,GEN,RSSCMJP,AISF,MD. NAWSAD SIDDIQUE,Md Nawsad Siddique,26151,32088.0,10.8,12.0,271897,272748.0,89.07,98.04,0.31,8.97,RSSCMJP to AISF
149,KASBA,South 24 Parganas,South 24 Parganas,GEN,TMC,TMC,AHMED JAVED KHAN,Ahmed Javed Khan,63622,20974.0,28.51,8.7,306266,265693.0,72.86,90.78,-13.25,17.92,Held
150,JADAVPUR,South 24 Parganas,South 24 Parganas,GEN,TMC,BJP,DEBABRATA MAJUMDAR (MALAY),Sarbori Mukherjee,38869,27716.0,18.04,11.99,299818,260915.0,71.85,88.56,-12.98,16.71,TMC to BJP
151,SONARPUR UTTAR,South 24 Parganas,South 24 Parganas,GEN,TMC,BJP,FIRDOUSI BEGUM,Debasish Dhar,36090,9807.0,15.01,3.82,300330,273312.0,80.08,93.83,-9.0,13.75,TMC to BJP
152,TOLLYGANJ,South 24 Parganas,South 24 Parganas,GEN,TMC,BJP,AROOP BISWAS,Papia Adhikary,50080,6013.0,25.37,2.92,269713,230098.0,73.18,89.38,-14.69,16.2,TMC to BJP
153,BEHALA PURBA,South 24 Parganas,South 24 Parganas,GEN,TMC,BJP,Ratna Chatterjee,Sankar Sikder,37428,25137.0,16.87,10.71,308285,259876.0,71.97,90.31,-15.7,18.34,TMC to BJP
154,BEHALA PASCHIM,South 24 Parganas,South 24 Parganas,GEN,TMC,BJP,PARTHA CHATTERJEE,Dr. Indranil Khan,50884,24699.0,21.95,10.34,313198,266349.0,74.02,89.66,-14.96,15.64,TMC to BJP
155,MAHESHTALA,South 24 Parganas,South 24 Parganas,GEN,TMC,TMC,DULAL CHANDRA DAS,Subhasis Das,57949,32913.0,26.34,14.32,271007,243529.0,81.17,94.36,-10.14,13.19,Held
156,BUDGE BUDGE,South 24 Parganas,South 24 Parganas,GEN,TMC,TMC,ASHOK KUMAR DEB,Ashok Kumar Deb,44714,46850.0,20.62,21.48,256136,230052.0,84.68,94.8,-10.18,10.12,Held
157,METIABURUZ,South 24 Parganas,South 24 Parganas,GEN,TMC,TMC,ABDUL KHALEQUE MOLLA,Abdul Khaleque Molla,119604,87879.0,60.84,48.8,256315,189557.0,76.7,94.99,-26.05,18.29,Held
158,KOLKATA PORT,Kolkata,Kolkata & Howrah,GEN,TMC,TMC,Firhad Hakim,Firhad Hakim,68554,56080.0,44.97,36.25,235933,171825.0,64.61,90.03,-27.17,25.42,Held
159,BHABANIPUR,Kolkata,Kolkata & Howrah,GEN,TMC,BJP,Sobhandeb Chattopadhyay,Adhikari Suvendu,28719,15105.0,22.55,10.83,206389,160563.0,61.72,86.83,-22.2,25.11,TMC to BJP
160,RASHBEHARI,Kolkata,Kolkata & Howrah,GEN,TMC,BJP,DEBASISH KUMAR,Dasgupta Swapan,21414,20865.0,17.21,15.03,206013,158586.0,60.41,87.53,-23.02,27.12,TMC to BJP
161,BALLYGUNGE,Kolkata,Kolkata & Howrah,GEN,TMC,TMC,Subrata Mukherjee,Sobhandeb Chattopadhyay,75359,61476.0,49.92,36.73,247662,188988.0,60.95,88.57,-23.69,27.62,Held
162,CHOWRANGEE,Kolkata,Kolkata & Howrah,GEN,TMC,TMC,BANDYOPADHYAY NAYNA,Bandyopadhyay Nayna,45344,22002.0,40.67,19.98,208201,126715.0,53.55,86.91,-39.14,33.36,Held
163,ENTALLY,Kolkata,Kolkata & Howrah,GEN,TMC,TMC,Swarna Kamal Saha,Sandipan Saha,58257,34006.0,37.14,20.58,230814,179088.0,67.97,92.25,-22.41,24.28,Held
164,BELEGHATA,Kolkata,Kolkata & Howrah,GEN,TMC,TMC,PARESH PAUL,Kunal Kumar Ghosh,67140,28576.0,42.36,16.41,250881,190746.0,63.18,91.28,-23.97,28.1,Held
165,JORASANKO,Kolkata,Kolkata & Howrah,GEN,TMC,BJP,VIVEK GUPTA,Vijay Ojha,12743,5797.0,12.88,5.43,197950,122746.0,49.99,87.05,-37.99,37.06,TMC to BJP
166,SHYAMPUKUR,Kolkata,Kolkata & Howrah,GEN,TMC,BJP,Dr. SHASHI PANJA,Purnima Chakraborty,22520,14633.0,21.87,12.53,176557,131890.0,58.32,88.53,-25.3,30.21,TMC to BJP
167,MANIKTALA,Kolkata,Kolkata & Howrah,GEN,TMC,BJP,Sadhan Pande,Tapas Roy,20238,15644.0,15.22,10.38,211308,165961.0,62.93,90.82,-21.46,27.89,TMC to BJP
168,KASHIPUR-BELGACHHIA,Kolkata,Kolkata & Howrah,GEN,TMC,BJP,Atin Ghosh,Ritesh Tiwari,35390,1651.0,26.24,1.1,223714,168019.0,60.29,89.6,-24.9,29.31,TMC to BJP
169,BALLY,Howrah,Kolkata & Howrah,GEN,TMC,BJP,RANA CHATTERJEE,Sanjay Kumar Singh,6237,11997.0,4.95,10.18,176197,133780.0,71.44,88.08,-24.07,16.64,TMC to BJP
170,HOWRAH UTTAR,Howrah,Kolkata & Howrah,GEN,TMC,BJP,GAUTAM CHOWDHURI,Umesh Rai,5522,11250.0,3.69,8.45,218547,150110.0,68.51,88.64,-31.31,20.13,TMC to BJP
171,HOWRAH MADHYA,Howrah,Kolkata & Howrah,GEN,TMC,TMC,"Arup Roy, S/o Late Prabhat Roy",Arup Roy,46547,16083.0,23.85,8.31,266542,214910.0,73.21,90.02,-19.37,16.81,Held
172,SHIBPUR,Howrah,Kolkata & Howrah,GEN,TMC,BJP,Manoj Tiwary,Rudranil Ghosh,32603,16058.0,17.89,8.86,233676,195103.0,77.98,92.94,-16.51,14.96,TMC to BJP
173,HOWRAH DAKSHIN,Howrah,Kolkata & Howrah,GEN,TMC,TMC,NANDITA CHOWDHURY,Nandita Chowdhury,50569,7828.0,23.31,3.53,294243,240748.0,73.73,92.24,-18.18,18.51,Held
174,SANKRAIL,Howrah,Kolkata & Howrah,SC,TMC,TMC,PRIYA PAUL,Priya Paul,40427,16740.0,18.2,7.3,277076,240335.0,80.17,95.37,-13.26,15.2,Held
175,PANCHLA,Howrah,Kolkata & Howrah,GEN,TMC,TMC,GULSAN MULLICK,Gulsan Mullick,32751,38320.0,15.09,16.3,266183,248515.0,81.53,94.63,-6.64,13.1,Held
176,ULUBERIA PURBA,Howrah,Kolkata & Howrah,GEN,TMC,TMC,BIDESH RANJAN BOSE,Ritabrata Banerjee,17126,11838.0,8.87,5.69,233764,218601.0,82.57,95.16,-6.49,12.59,Held
177,ULUBERIA UTTAR,Howrah,Kolkata & Howrah,SC,TMC,BJP,Dr. Nirmal Maji,Chiran Bera,21003,4177.0,11.31,2.05,224423,214715.0,82.78,94.76,-4.33,11.98,TMC to BJP
178,ULUBERIA DAKSHIN,Howrah,Kolkata & Howrah,GEN,TMC,TMC,PULAK ROY,Pulak Roy,28438,17187.0,14.06,7.6,237620,237104.0,85.12,95.43,-0.22,10.31,Held
179,SHYAMPUR,Howrah,Kolkata & Howrah,GEN,TMC,BJP,KALIPADA MANDAL,Dr. Hiranmoy Chattopadhyaya (hiraan),31511,22260.0,14.2,9.1,257593,259440.0,86.14,94.31,0.72,8.17,TMC to BJP
180,BAGNAN,Howrah,Kolkata & Howrah,GEN,TMC,TMC,Arunava Sen (Raja),Arunava Sen,30120,11316.0,15.06,5.18,231216,230726.0,86.47,94.66,-0.21,8.19,Held
181,AMTA,Howrah,Kolkata & Howrah,GEN,TMC,BJP,SUKANTA KUMAR PAUL,Amit Samanta,26205,4454.0,12.55,1.88,261881,257113.0,79.73,92.18,-1.82,12.45,TMC to BJP
182,UDAYNARAYANPUR,Howrah,Kolkata & Howrah,GEN,TMC,TMC,SAMIR KUMAR PANJA,Samir Kumar Panja,13998,12227.0,7.06,5.72,235467,229303.0,84.18,93.15,-2.62,8.97,Held
183,JAGATBALLAVPUR,Howrah,Kolkata & Howrah,GEN,TMC,BJP,SITANATH GHOSH,Anupam Ghosh,29196,6671.0,12.39,2.64,288158,270866.0,81.8,93.23,-6.0,11.43,TMC to BJP
184,DOMJUR,Howrah,Kolkata & Howrah,GEN,TMC,TMC,KALYAN GHOSH,Tapas Maity,42620,42177.0,16.98,16.59,299250,269344.0,83.87,94.37,-9.99,10.5,Held
185,UTTARPARA,Hooghly,Hooghly & Purba Medinipur,GEN,TMC,BJP,KANCHAN MULLICK,Dipanjan Chakraborty,35989,10415.0,18.0,5.07,259814,228576.0,76.94,89.88,-12.02,12.94,TMC to BJP
186,SREERAMPUR,Hooghly,Hooghly & Purba Medinipur,GEN,TMC,BJP,DR. SUDIPTO ROY,Bhaskar Bhattacharya,23433,8685.0,12.46,4.66,252758,206216.0,74.41,90.34,-18.41,15.93,TMC to BJP
187,CHAMPDANI,Hooghly,Hooghly & Purba Medinipur,GEN,TMC,BJP,ARINDAM GUIN (BUBAI),Dilip Singh,30078,3026.0,14.95,1.48,263372,222304.0,76.37,91.95,-15.59,15.58,TMC to BJP
188,SINGUR,Hooghly,Hooghly & Purba Medinipur,GEN,TMC,BJP,BECHARAM MANNA,Arup Kumar Das,25923,21438.0,12.35,9.63,246867,237516.0,85.04,93.71,-3.79,8.67,TMC to BJP
189,CHANDANNAGAR,Hooghly,Hooghly & Purba Medinipur,GEN,TMC,BJP,INDRANIL SEN,Deepanjan Kumar Guha,31029,13441.0,17.03,7.19,229572,203795.0,79.36,91.71,-11.23,12.35,TMC to BJP
190,CHUNCHURA,Hooghly,Hooghly & Purba Medinipur,GEN,TMC,BJP,Asit Mazumder (Tapan),Subir Nag,18417,43435.0,7.23,17.02,314274,276244.0,81.06,92.38,-12.1,11.32,TMC to BJP
191,BALAGARH,Hooghly,Hooghly & Purba Medinipur,SC,TMC,BJP,MANORANJAN BAPARI,Sumana Sarkar,5784,41914.0,2.63,18.54,258955,240491.0,84.94,93.99,-7.13,9.05,TMC to BJP
192,PANDUA,Hooghly,Hooghly & Purba Medinipur,GEN,TMC,BJP,Dr. Ratna De Nag,Tusar Kumar Majumdar,31858,5228.0,14.24,2.24,270503,249215.0,82.68,93.78,-7.87,11.1,TMC to BJP
193,SAPTAGRAM,Hooghly,Hooghly & Purba Medinipur,GEN,TMC,BJP,TAPAN DASGUPTA,Swaraj Ghosh,9772,23289.0,5.08,11.85,234840,210597.0,81.84,93.35,-10.32,11.51,TMC to BJP
194,CHANDITALA,Hooghly,Hooghly & Purba Medinipur,GEN,TMC,TMC,SWATI KHANDOKER,Swati Khandoker,41347,19663.0,19.96,8.64,263257,246622.0,78.67,92.24,-6.32,13.57,Held
195,JANGIPARA,Hooghly,Hooghly & Purba Medinipur,GEN,TMC,BJP,SNEHASIS CHAKRABORTY,Prosenjit Bag,17926,862.0,8.52,0.37,257025,251164.0,81.86,92.49,-2.28,10.63,TMC to BJP
196,HARIPAL,Hooghly,Hooghly & Purba Medinipur,GEN,TMC,BJP,Dr. Karabi Manna,Madhumita Ghosh,23072,3488.0,10.45,1.42,269649,264434.0,81.87,93.03,-1.93,11.16,TMC to BJP
197,DHANEKHALI,Hooghly,Hooghly & Purba Medinipur,SC,TMC,TMC,ASIMA PATRA,Asima Patra,30159,13057.0,12.9,5.27,271518,262844.0,86.12,94.23,-3.19,8.11,Held
198,TARAKESWAR,Hooghly,Hooghly & Purba Medinipur,GEN,TMC,BJP,RAMENDU SINHARAY,Santu Pan,7484,30999.0,3.63,13.99,239820,235634.0,85.86,94.03,-1.75,8.17,TMC to BJP
199,PURSURAH,Hooghly,Hooghly & Purba Medinipur,GEN,BJP,BJP,BIMAN GHOSH,Biman Ghosh,28178,53453.0,12.63,22.19,259988,259825.0,85.8,92.73,-0.06,6.93,Held
200,ARAMBAG,Hooghly,Hooghly & Purba Medinipur,SC,BJP,BJP,MADHUSUDAN BAG,Bag Hemanta,7172,28959.0,3.26,12.28,257621,253519.0,85.38,93.04,-1.59,7.66,Held
201,GOGHAT,Hooghly,Hooghly & Purba Medinipur,SC,BJP,BJP,BISWANATH KARAK,Prasanta Digar,4147,49582.0,1.89,21.16,246570,248328.0,89.04,94.36,0.71,5.32,Held
202,KHANAKUL,Hooghly,Hooghly & Purba Medinipur,GEN,BJP,BJP,SUSANTA GHOSH,Susanta Ghosh,12884,34483.0,5.91,14.54,277259,268692.0,78.62,88.26,-3.09,9.64,Held
203,TAMLUK,Purba Medinipur,Hooghly & Purba Medinipur,GEN,TMC,BJP,Saumen Kumar Mahapatra,Hare Krishna Bera,793,34729.0,0.34,13.52,266881,274816.0,88.44,93.49,2.97,5.05,TMC to BJP
204,PANSKURA PURBA,Purba Medinipur,Hooghly & Purba Medinipur,GEN,TMC,BJP,Biplab Roy Chowdhury,Subrata Maity(rana),9660,17903.0,4.87,8.11,236306,238674.0,83.96,92.48,1.0,8.52,TMC to BJP
205,PANSKURA PASCHIM,Purba Medinipur,Hooghly & Purba Medinipur,GEN,TMC,BJP,PHIROJA BIBI,Sintu Senapati,8889,32567.0,3.8,12.6,274092,279248.0,85.42,92.55,1.88,7.13,TMC to BJP
206,MOYNA,Purba Medinipur,Hooghly & Purba Medinipur,GEN,BJP,BJP,Ashoke Dinda,Ashoke Dinda,1260,16241.0,0.56,6.59,255164,265481.0,87.96,92.79,4.04,4.83,Held
207,NANDAKUMAR,Purba Medinipur,Hooghly & Purba Medinipur,GEN,TMC,BJP,SUKUMAR DE,Khanra Nirmal,5406,30603.0,2.38,12.27,253829,264738.0,89.54,94.17,4.3,4.63,TMC to BJP
208,MAHISADAL,Purba Medinipur,Hooghly & Purba Medinipur,GEN,TMC,BJP,TILAK KUMAR CHAKRABORTY,Subhas Chandra Panja,2386,26238.0,1.09,11.02,245266,253752.0,89.44,93.87,3.46,4.43,TMC to BJP
209,HALDIA,Purba Medinipur,Hooghly & Purba Medinipur,SC,BJP,BJP,Tapasi Mondal,Pradip Kumar Bijali,15008,49062.0,6.8,20.49,251051,252092.0,87.96,94.98,0.41,7.02,Held
210,NANDIGRAM,Purba Medinipur,Hooghly & Purba Medinipur,GEN,BJP,BJP,ADHIKARI SUVENDU,Adhikari Suvendu,1956,9665.0,0.86,3.82,257999,267174.0,88.53,94.59,3.56,6.06,Held
211,CHANDIPUR,Purba Medinipur,Hooghly & Purba Medinipur,GEN,TMC,BJP,Soham Chakraborty,Pijush Kanti Das,13472,20270.0,6.11,8.38,245775,256364.0,89.65,94.38,4.31,4.73,TMC to BJP
212,PATASHPUR,Purba Medinipur,Hooghly & Purba Medinipur,GEN,TMC,BJP,UTTAM BARIK,Tapan Maity,9994,9051.0,4.79,3.9,236413,247529.0,88.33,93.75,4.7,5.42,TMC to BJP
213,KANTHI UTTAR,Purba Medinipur,Hooghly & Purba Medinipur,GEN,BJP,BJP,SUMITA SINHA,Sumita Sinha,9330,20055.0,4.08,8.04,257427,263871.0,88.73,94.52,2.5,5.79,Held
214,BHAGABANPUR,Purba Medinipur,Hooghly & Purba Medinipur,GEN,BJP,BJP,RABINDRANATH MAITY,Santanu Pramanik,27549,20878.0,12.37,8.43,254184,264293.0,87.59,93.7,3.98,6.11,Held
215,KHEJURI,Purba Medinipur,Hooghly & Purba Medinipur,SC,BJP,BJP,SANTANU PRAMANIK,Subrata Paik,17965,32690.0,8.45,13.83,238630,248386.0,89.1,95.15,4.09,6.05,Held
216,KANTHI DAKSHIN,Purba Medinipur,Hooghly & Purba Medinipur,GEN,BJP,BJP,ARUP KUMAR DAS,Arup Kumar Das,10293,31472.0,5.29,14.79,224657,228412.0,86.66,93.18,1.67,6.52,Held
217,RAMNAGAR,Purba Medinipur,Hooghly & Purba Medinipur,GEN,TMC,BJP,AKHIL GIRI,Dr. Chandra Sekhar Mondal,12517,26939.0,5.64,11.0,264900,269545.0,83.83,90.84,1.75,7.01,TMC to BJP
218,EGRA,Purba Medinipur,Hooghly & Purba Medinipur,GEN,TMC,BJP,TARUN KUMAR MAITY,Adhikari Dibyendu,18491,25692.0,7.68,9.54,284614,291907.0,84.61,92.28,2.56,7.67,TMC to BJP
219,DANTAN,Paschim Medinipur,Jangalmahal,GEN,TMC,BJP,BIKRAM CHANDRA PRADHAN,Ajit Kumar Jana,623,10376.0,0.31,4.75,233841,236370.0,84.59,92.39,1.08,7.8,TMC to BJP
220,NAYAGRAM,Jhargram,Jangalmahal,ST,TMC,BJP,DULAL MURMU,Amiya Kisku,22754,6424.0,11.83,3.09,226791,227076.0,84.82,91.47,0.13,6.65,TMC to BJP
221,GOPIBALLAVPUR,Jhargram,Jangalmahal,GEN,TMC,BJP,Dr. Khagendra Nath Mahata,Rajesh Mahata,23768,26675.0,11.94,12.5,226417,228063.0,87.92,93.56,0.73,5.64,TMC to BJP
222,JHARGRAM,Jhargram,Jangalmahal,GEN,TMC,BJP,BIRBAHA HANSDA,Lakshmi Kanta Sau,38240,38147.0,18.95,17.27,236035,235603.0,85.49,93.78,-0.18,8.29,TMC to BJP
223,KESHIARY,Paschim Medinipur,Jangalmahal,ST,TMC,BJP,PARESH MURMU,Bhadra Hemram,15330,15887.0,7.21,7.1,238835,238855.0,89.05,93.71,0.01,4.66,TMC to BJP
224,KHARAGPUR SADAR,Paschim Medinipur,Jangalmahal,GEN,BJP,BJP,HIRANMOY CHATTOPADHYAYA,Dilip Ghosh,3771,30506.0,2.2,18.87,234672,180764.0,73.03,89.43,-22.97,16.4,Held
225,NARAYANGARH,Paschim Medinipur,Jangalmahal,GEN,TMC,BJP,ATTA SURJA KANTA,Giri Ramaprasad,2416,20367.0,1.11,9.03,243832,239375.0,89.3,94.22,-1.83,4.92,TMC to BJP
226,SABANG,Paschim Medinipur,Jangalmahal,GEN,TMC,BJP,MANAS RANJAN BHUNIA,Amal Kumar Panda,9864,11136.0,4.18,4.33,264783,274846.0,89.21,93.63,3.8,4.42,TMC to BJP
227,PINGLA,Paschim Medinipur,Jangalmahal,GEN,TMC,BJP,AJIT MAITY,Swagata Manna,6656,18480.0,2.91,7.61,255054,256233.0,89.66,94.74,0.46,5.08,TMC to BJP
228,KHARAGPUR,Paschim Medinipur,Jangalmahal,GEN,TMC,TMC,DINEN ROY,Dinen Roy,36230,2872.0,18.11,1.38,227081,218527.0,88.09,95.44,-3.77,7.35,Held
229,DEBRA,Paschim Medinipur,Jangalmahal,GEN,TMC,BJP,HUMAYUN KABIR,Subhashis Om,11226,28801.0,5.48,13.25,234184,232197.0,87.48,93.59,-0.85,6.11,TMC to BJP
230,DASPUR,Paschim Medinipur,Jangalmahal,GEN,TMC,BJP,MAMATA BHUNIA,Tapan Kumar Dutta,26842,32134.0,12.07,12.75,298096,296256.0,74.63,85.08,-0.62,10.45,TMC to BJP
231,GHATAL,Paschim Medinipur,Jangalmahal,SC,BJP,BJP,SITAL KAPAT,Sital Kapat,966,37657.0,0.43,15.56,279908,276794.0,80.52,87.44,-1.11,6.92,Held
232,CHANDRAKONA,Paschim Medinipur,Jangalmahal,SC,TMC,BJP,ARUP DHARA,Sukanta Dolui,11281,33481.0,4.52,12.65,279867,283081.0,89.08,93.5,1.15,4.42,TMC to BJP
233,GARBETA,Paschim Medinipur,Jangalmahal,GEN,TMC,BJP,Uttara Singha (Hazra),Pradip Lodha,10572,26225.0,5.09,11.81,232046,233655.0,89.5,95.03,0.69,5.53,TMC to BJP
234,SALBONI,Paschim Medinipur,Jangalmahal,GEN,TMC,BJP,Srikanta Mahata,Biman Mahata,32644,15243.0,13.1,5.72,276940,279613.0,89.98,95.3,0.97,5.32,TMC to BJP
235,KESHPUR,Paschim Medinipur,Jangalmahal,SC,TMC,TMC,Seuli Saha,Seuli Saha,20720,50105.0,9.0,19.73,261529,268213.0,88.03,94.69,2.56,6.66,Held
236,MEDINIPUR,Paschim Medinipur,Jangalmahal,GEN,TMC,BJP,June Maliah,Sankar Kumar Guchhait,24397,38747.0,10.21,15.87,280060,260610.0,85.3,93.66,-6.94,8.36,TMC to BJP
237,BINPUR,Jhargram,Jangalmahal,ST,TMC,BJP,DEBNATH HANSDA,Dr. Pranat Tudu,39494,22977.0,20.92,11.04,224036,221524.0,84.27,93.93,-1.12,9.66,TMC to BJP
238,BANDWAN,Purulia,Jangalmahal,ST,TMC,BJP,RAJIB LOCHAN SAREN,Labsen Baskey,18831,29577.0,7.81,11.11,284840,286171.0,84.63,93.01,0.47,8.38,TMC to BJP
239,BALARAMPUR,Purulia,Jangalmahal,GEN,BJP,BJP,BANESWAR MAHATO,Jaladhar Mahato,423,35051.0,0.21,15.94,238113,235710.0,83.14,93.31,-1.01,10.17,Held
240,BAGHMUNDI,Purulia,Jangalmahal,GEN,TMC,BJP,Sushanta Mahato,Rahidas Mahato,13969,40817.0,6.77,17.74,249613,250978.0,82.65,91.7,0.55,9.05,TMC to BJP
