ac_no,ac_name,district,region,reservation,winner_2021,winner_2026,winner_name_2021,winner_name_2026,margin_2021,margin_2026,margin_pct_2021,margin_pct_2026,roll_2021,roll_2026,turnout_2021,turnout_2026,tmc_votes_2021,tmc_votes_2026,bjp_votes_2021,bjp_votes_2026,other_votes_2021,other_votes_2026,total_votes_2021,total_votes_2026,roll_change_pct,turnout_change_pts,outcome,flipped
18,RAJGANJ,Jalpaiguri,North Bengal,SC,TMC,BJP,KHAGESWAR ROY,Dinesh Sarkar,15773,21477.0,7.31,9.57,244163,231186.0,88.37,97.06,104641.0,93180.0,88868.0,114657.0,19071.0,15220.0,212580.0,223057.0,-5.31,8.69,TMC to BJP,Flipped
19,DABGRAM-FULBARI,Jalpaiguri,North Bengal,GEN,BJP,BJP,Sikha Chatterjee,Sikha Chatterjee,27593,97715.0,10.65,38.79,310354,264767.0,83.44,95.14,101495.0,68585.0,129088.0,166300.0,25007.0,15883.0,255590.0,250768.0,-14.69,11.7,Held,Held
20,MAL,Jalpaiguri,North Bengal,ST,TMC,BJP,BULU CHIK BARAIK,Sukra Munda,5465,15492.0,2.56,6.9,255570,238092.0,83.44,94.27,99086.0,96603.0,93621.0,112095.0,15849.0,12736.0,208556.0,221434.0,-6.84,10.83,TMC to BJP,Flipped
21,NAGRAKATA,Jalpaiguri,North Bengal,ST,BJP,BJP,PUNA BHENGRA,Puna Bhengra,23475,25858.0,12.28,12.68,237305,220932.0,80.56,92.32,71247.0,77620.0,94722.0,103478.0,19746.0,19978.0,185715.0,201076.0,-6.9,11.76,Held,Held
22,KALIMPONG,Kalimpong,North Bengal,GEN,IND,BJP,RUDEN SADA LEPCHA,Bharat Kumar Chetri,3870,21464.0,2.5,12.66,211896,203506.0,73.08,83.28,0.0,0.0,54336.0,84290.0,98367.0,83127.0,152703.0,167417.0,-3.96,10.2,IND to BJP,Flipped
23,DARJEELING,Darjeeling,North Bengal,GEN,BJP,BJP,NEERAJ TAMANG ZIMBA,Noman Rai,21276,6057.0,12.62,3.48,246663,210995.0,68.34,82.37,0.0,0.0,68907.0,62076.0,97128.0,109691.0,166035.0,171767.0,-14.46,14.03,Held,Held
24,KURSEONG,Darjeeling,North Bengal,GEN,BJP,BJP,Bishnu Prasad Sharma (alias B.P. Bajgain),Sonam Lama,15515,17007.0,8.84,9.35,236477,218103.0,74.23,83.37,0.0,0.0,73475.0,74878.0,99653.0,105187.0,173128.0,180065.0,-7.77,9.14,Held,Held
25,MATIGARA-NAXALBARI,Darjeeling,North Bengal,SC,BJP,BJP,Anandamay Barman,Anandamay Barman,70848,104265.0,29.45,41.54,287565,270154.0,83.66,92.9,68937.0,62640.0,139785.0,166905.0,27957.0,19629.0,236679.0,249174.0,-6.05,9.24,Held,Held
26,SILIGURI,Darjeeling,North Bengal,GEN,BJP,BJP,Sankar Ghosh,Shankar Ghosh,35586,73192.0,19.92,39.87,228406,201008.0,78.22,91.33,53784.0,47568.0,89370.0,120760.0,33422.0,14021.0,176576.0,182349.0,-12.0,13.11,Held,Held
27,PHANSIDEWA,Darjeeling,North Bengal,ST,BJP,BJP,Durga Murmu,Durga Murmu,27711,45263.0,13.35,21.79,240496,217918.0,86.32,95.33,77940.0,72978.0,105651.0,118241.0,21424.0,14320.0,205015.0,205539.0,-9.39,9.01,Held,Held
28,CHOPRA,Uttar Dinajpur,North Bengal,GEN,TMC,TMC,HAMIDUL RAHAMAN,Hamidul Rahaman,64905,69124.0,31.8,32.73,247764,219393.0,82.38,96.25,124923.0,120986.0,60018.0,51862.0,17638.0,37090.0,202579.0,209938.0,-11.45,13.87,Held,Held
29,ISLAMPUR,Uttar Dinajpur,North Bengal,GEN,TMC,TMC,ABDUL KARIM CHOWDHARY,Agarwal Kanaia Lal,37440,40063.0,22.03,21.54,219728,202385.0,77.36,91.88,100131.0,108117.0,62691.0,68054.0,5176.0,7770.0,167998.0,183941.0,-7.89,14.52,Held,Held
30,GOALPOKHAR,Uttar Dinajpur,North Bengal,GEN,TMC,TMC,MD. GHULAM RABBANI,Md Ghulam Rabbani,73514,83790.0,45.51,45.74,224633,199566.0,71.91,91.79,105649.0,122105.0,32135.0,38315.0,21735.0,21822.0,159519.0,182242.0,-11.16,19.88,Held,Held
31,CHAKULIA,Uttar Dinajpur,North Bengal,GEN,TMC,TMC,AZAD MINHAJUL ARFIN,Azad Minhajul Arfin,33837,28011.0,19.51,14.07,233378,216163.0,74.3,92.12,86311.0,90277.0,52474.0,62266.0,33429.0,44858.0,172214.0,197401.0,-7.38,17.82,Held,Held
32,KARANDIGHI,Uttar Dinajpur,North Bengal,GEN,TMC,BJP,GOUTAM PAUL,Biraj Biswas,36626,19869.0,17.18,9.03,262583,231680.0,81.17,94.95,116594.0,76391.0,79968.0,96260.0,14125.0,45675.0,210687.0,218326.0,-11.77,13.78,TMC to BJP,Flipped
33,HEMTABAD,Uttar Dinajpur,North Bengal,SC,TMC,BJP,SATYAJIT BARMAN,Haripada Barman,27215,12361.0,12.19,5.16,265318,246863.0,84.16,96.97,116425.0,103168.0,89210.0,115529.0,15506.0,19918.0,221141.0,238615.0,-6.96,12.81,TMC to BJP,Flipped
34,KALIAGANJ,Uttar Dinajpur,North Bengal,SC,BJP,BJP,SOUMEN ROY,Utpal Brahmacharo,21820,76425.0,9.1,29.6,282575,268580.0,84.84,96.14,94948.0,81924.0,116768.0,158349.0,25003.0,14959.0,236719.0,255232.0,-4.95,11.3,Held,Held
35,RAIGANJ,Uttar Dinajpur,North Bengal,GEN,BJP,BJP,KRISHNA KALYANI,Koushik Chowdhury,20748,58641.0,12.86,35.58,198780,174464.0,81.17,94.46,59027.0,46920.0,79775.0,105561.0,20077.0,10669.0,158879.0,163150.0,-12.23,13.29,Held,Held
36,ITAHAR,Uttar Dinajpur,North Bengal,GEN,TMC,TMC,MOSARAF HUSSEN,Mosaraf Hussen,43975,27878.0,22.67,13.66,229362,211669.0,84.58,96.45,114645.0,98172.0,70670.0,70294.0,7431.0,34994.0,192746.0,203460.0,-7.71,11.87,Held,Held
37,KUSHMANDI,Dakshin Dinajpur,North Bengal,SC,TMC,BJP,REKHA ROY,Tapas Chandra Roy,12584,9063.0,6.84,4.54,219921,206031.0,83.7,96.84,89968.0,88374.0,77384.0,97437.0,15125.0,12131.0,182477.0,197942.0,-6.32,13.14,TMC to BJP,Flipped
38,KUMARGANJ,Dakshin Dinajpur,North Bengal,GEN,TMC,TMC,TORAF HOSSAIN MANDAL,Toraf Hossain Mandal,29367,6685.0,17.18,3.84,203986,180629.0,83.79,96.26,89763.0,82791.0,60396.0,76106.0,19644.0,14183.0,169803.0,173080.0,-11.45,12.47,Held,Held
