ac_no,ac_name,district,region,reservation,winner_2021,winner_2026,winner_name_2021,winner_name_2026,margin_2021,margin_2026,margin_pct_2021,margin_pct_2026,roll_2021,roll_2026,turnout_2021,turnout_2026,tmc_votes_2021,tmc_votes_2026,bjp_votes_2021,bjp_votes_2026,other_votes_2021,other_votes_2026,total_votes_2021,total_votes_2026,roll_change_pct,turnout_change_pts,outcome,flipped
88,KRISHNAGANJ,Nadia,Murshidabad-Nadia,SC,BJP,BJP,ASHIS KUMAR BISWAS,Sukanta Biswas,21277,60899.0,9.17,26.2,273728,254486.0,84.73,91.35,96391.0,78939.0,117668.0,139838.0,15780.0,12767.0,229839.0,231544.0,-7.03,6.62,Held,Held
89,RANAGHAT UTTAR PURBA,Nadia,Murshidabad-Nadia,SC,BJP,BJP,ASHIM BISWAS,Ashim Biswas,31782,51743.0,14.8,24.48,264929,233552.0,81.05,90.51,85004.0,74492.0,116786.0,126235.0,10587.0,8890.0,212377.0,209617.0,-11.84,9.46,Held,Held
90,RANAGHAT DAKSHIN,Nadia,Murshidabad-Nadia,SC,BJP,BJP,MUKUT MANI ADHIKARI,Ashim Kumar Biswas,16515,64464.0,6.83,27.7,285180,254197.0,84.75,91.54,102745.0,75546.0,119260.0,140010.0,18105.0,15906.0,240110.0,231462.0,-10.86,6.79,Held,Held
91,CHAKDAHA,Nadia,Murshidabad-Nadia,GEN,BJP,BJP,Bankim Chandra Ghosh,Bankim Chandra Ghosh,11680,36945.0,5.51,17.53,245514,224671.0,86.38,93.79,87688.0,78488.0,99368.0,115433.0,23521.0,15689.0,210577.0,209610.0,-8.49,7.41,Held,Held
92,KALYANI,Nadia,Murshidabad-Nadia,SC,BJP,BJP,AMBIKA ROY,Anupam Biswas,2206,34792.0,1.0,16.14,257683,230939.0,85.51,93.32,94820.0,79677.0,97026.0,114469.0,25915.0,19421.0,217761.0,213567.0,-10.38,7.81,Held,Held
93,HARINGHATA,Nadia,Murshidabad-Nadia,SC,BJP,BJP,ASIM KUMAR SARKAR,Asim Kumar Sarkar,15200,22055.0,7.21,10.37,240606,225582.0,87.64,94.31,82466.0,85845.0,97666.0,107900.0,29315.0,17436.0,209447.0,211181.0,-6.24,6.67,Held,Held
94,BAGDA,North 24 Parganas,North 24 Parganas,SC,BJP,BJP,Biswajit Das,Soma Thakur,9792,34616.0,4.48,15.94,277464,241642.0,78.85,89.89,98319.0,86691.0,108111.0,121307.0,11341.0,8507.0,217771.0,216505.0,-12.91,11.04,Held,Held
95,BANGAON UTTAR,North 24 Parganas,North 24 Parganas,SC,BJP,BJP,ASHOK KIRTANIA,Ashok Kirtania,10488,40670.0,5.11,19.24,251387,226988.0,81.62,93.11,87273.0,78647.0,97761.0,119317.0,18308.0,11880.0,203342.0,209844.0,-9.71,11.49,Held,Held
96,BANGAON DAKSHIN,North 24 Parganas,North 24 Parganas,SC,BJP,BJP,SWAPAN MAJUMDER,Swapan Majumder,2004,37814.0,0.96,17.82,248278,228861.0,83.71,92.72,95824.0,81585.0,97828.0,119399.0,12640.0,10275.0,206292.0,211259.0,-7.82,9.01,Held,Held
97,GAIGHATA,North 24 Parganas,North 24 Parganas,SC,BJP,BJP,SUBRATA THAKUR,Subrata Thakur,9578,47683.0,4.49,22.79,252053,223535.0,84.6,93.59,91230.0,73639.0,100808.0,121322.0,19796.0,13246.0,211834.0,208207.0,-11.31,8.99,Held,Held
98,SWARUPNAGAR,North 24 Parganas,North 24 Parganas,SC,TMC,TMC,BINA MONDAL,Bina Mondal,34800,16017.0,16.43,7.34,246109,229583.0,86.06,95.01,99784.0,94813.0,64984.0,78796.0,45780.0,43281.0,210548.0,216890.0,-6.71,8.95,Held,Held
99,BADURIA,North 24 Parganas,North 24 Parganas,GEN,TMC,TMC,ABDUR RAHIM QUAZI,Burhanul Mukaddim (liton),56444,40061.0,26.51,17.62,243747,236598.0,87.34,96.1,109701.0,103334.0,53257.0,63273.0,47972.0,59371.0,210930.0,225978.0,-2.93,8.76,Held,Held
100,HABRA,North 24 Parganas,North 24 Parganas,GEN,TMC,BJP,JYOTI PRIYA MALLICK,Debdas Mondal,3841,31462.0,1.88,15.83,242425,209653.0,84.22,94.79,90533.0,73183.0,86692.0,104645.0,25656.0,19921.0,202881.0,197749.0,-13.52,10.57,TMC to BJP,Flipped
101,ASHOKNAGAR,North 24 Parganas,North 24 Parganas,GEN,TMC,BJP,NARAYAN GOSWAMI,Dr. Sumay Hira,23532,9408.0,10.86,4.28,257180,229948.0,84.27,95.57,93587.0,87399.0,70055.0,96807.0,51471.0,34390.0,215113.0,218596.0,-10.59,11.3,TMC to BJP,Flipped
102,AMDANGA,North 24 Parganas,North 24 Parganas,GEN,TMC,TMC,RAFIQUR RAHAMAN,Mohammad Kasem Siddique,25480,2995.0,12.03,1.4,242462,221501.0,87.33,96.39,88935.0,81670.0,63455.0,78675.0,57028.0,51588.0,209418.0,211933.0,-8.65,9.06,Held,Held
103,BIJPUR,North 24 Parganas,North 24 Parganas,GEN,TMC,BJP,SUBODH ADHIKARY,Sudipta Das,13347,13343.0,9.6,9.21,192316,158512.0,72.33,91.4,66625.0,58456.0,53278.0,71799.0,17966.0,13900.0,137869.0,144155.0,-17.58,19.07,TMC to BJP,Flipped
104,NAIHATI,North 24 Parganas,North 24 Parganas,GEN,TMC,BJP,PARTHA BHOWMICK,Sumitro Chatterjee,18855,10430.0,12.05,6.62,193930,171184.0,80.68,92.1,77753.0,67054.0,58898.0,77484.0,18116.0,11939.0,154767.0,156477.0,-11.73,11.42,TMC to BJP,Flipped
105,BHATPARA,North 24 Parganas,North 24 Parganas,GEN,BJP,BJP,PAWAN KUMAR SINGH,Pawan Kumar Singh,13687,22807.0,12.77,21.45,154037,117493.0,69.59,90.49,43557.0,38876.0,57244.0,61683.0,5236.0,4816.0,106037.0,105375.0,-23.72,20.9,Held,Held
106,JAGATDAL,North 24 Parganas,North 24 Parganas,GEN,TMC,BJP,SOMENATH SHYAM ICHINI,Dr. Rajesh Kumar,18364,20909.0,10.13,11.41,233871,196204.0,77.52,93.37,87030.0,73442.0,68666.0,94351.0,23023.0,14428.0,178719.0,182221.0,-16.11,15.85,TMC to BJP,Flipped
107,NOAPARA,North 24 Parganas,North 24 Parganas,GEN,TMC,BJP,MANJU BASU,Arjun Singh,26710,17656.0,13.87,9.05,262153,214216.0,73.48,91.11,94203.0,76759.0,67493.0,94415.0,28052.0,22631.0,189748.0,193805.0,-18.29,17.63,TMC to BJP,Flipped
108,BARRACKPUR,North 24 Parganas,North 24 Parganas,GEN,TMC,BJP,RAJU CHAKRABORTY (RAJ),Kaustuv Bagchi,9222,15822.0,6.22,10.21,215356,171212.0,68.84,90.48,68887.0,62644.0,59665.0,78466.0,17767.0,12611.0,146319.0,153721.0,-20.5,21.64,TMC to BJP,Flipped
109,KHARDAHA,North 24 Parganas,North 24 Parganas,GEN,TMC,BJP,KAJAL SINHA,Kalyan Chakraborti,28140,24486.0,15.36,12.46,232619,210105.0,78.73,93.53,89807.0,73266.0,61667.0,97752.0,29258.0,24171.0,180732.0,195189.0,-9.68,14.8,TMC to BJP,Flipped
110,DUM DUM UTTAR,North 24 Parganas,North 24 Parganas,GEN,TMC,BJP,CHANDRIMA BHATTACHARYA,Sourav Sikdar,28499,26404.0,13.37,11.82,273015,240505.0,78.07,92.87,95465.0,76880.0,66966.0,103284.0,48607.0,41710.0,211038.0,221874.0,-11.91,14.8,TMC to BJP,Flipped
111,PANIHATI,North 24 Parganas,North 24 Parganas,GEN,TMC,BJP,NIRMAL GHOSH,Ratna Debnath,25177,28836.0,14.44,16.48,230748,189867.0,75.56,92.16,86495.0,59141.0,61318.0,87977.0,24209.0,26821.0,172022.0,173939.0,-17.72,16.6,TMC to BJP,Flipped
112,KAMARHATI,North 24 Parganas,North 24 Parganas,GEN,TMC,TMC,MADAN MITRA,Madan Mitra,35408,5646.0,24.54,3.81,197103,162833.0,73.22,91.06,73845.0,64817.0,38437.0,59171.0,30475.0,23139.0,142757.0,147127.0,-17.39,17.84,Held,Held
113,BARANAGAR,North 24 Parganas,North 24 Parganas,GEN,TMC,BJP,TAPAS ROY,Sajal Ghosh,35147,16956.0,21.93,10.01,217774,186656.0,73.59,90.73,85615.0,64774.0,50468.0,81730.0,21798.0,21646.0,157881.0,168150.0,-14.29,17.14,TMC to BJP,Flipped
114,DUM DUM,North 24 Parganas,North 24 Parganas,GEN,TMC,BJP,BRATYA BASU,Arijit Bakshi,26731,25273.0,14.42,12.76,247858,217724.0,74.77,90.99,87999.0,73908.0,61268.0,99181.0,34028.0,23550.0,183295.0,196639.0,-12.16,16.22,TMC to BJP,Flipped
115,RAJARHAT NEW TOWN,North 24 Parganas,North 24 Parganas,GEN,TMC,BJP,TAPASH CHATTERJEE,Piyush Kanodia,56432,316.0,24.02,0.13,289075,267716.0,81.26,94.34,127374.0,106248.0,70942.0,106564.0,34558.0,37956.0,232874.0,250768.0,-7.39,13.08,TMC to BJP,Flipped
116,BIDHANNAGAR,North 24 Parganas,North 24 Parganas,GEN,TMC,BJP,SUJIT BOSE S/O - LATE AJIT BOSE,Sharadwat Mukherjee,7997,37330.0,4.94,21.03,243360,203960.0,66.58,87.02,75912.0,60649.0,67915.0,97979.0,15995.0,17474.0,159822.0,176102.0,-16.19,20.44,TMC to BJP,Flipped
117,RAJARHAT GOPALPUR,North 24 Parganas,North 24 Parganas,GEN,TMC,BJP,ADITI MUNSHI,Tarunjyoti Tewari,25296,27757.0,14.15,14.18,257447,218980.0,69.42,89.38,87650.0,73520.0,62354.0,101277.0,26461.0,19365.0,176465.0,194162.0,-14.94,19.96,TMC to BJP,Flipped
118,MADHYAMGRAM,North 24 Parganas,North 24 Parganas,GEN,TMC,TMC,RATHIN GHOSH,Rathin Ghosh,48126,2399.0,20.89,1.03,272397,244690.0,84.59,95.19,112741.0,95995.0,64615.0,93596.0,49923.0,41851.0,227279.0,231442.0,-10.17,10.6,Held,Held
119,BARASAT,North 24 Parganas,North 24 Parganas,GEN,TMC,BJP,CHIRANJEET CHAKRABARTI,Sankar Chatterjee,23783,34558.0,10.54,14.61,279592,252684.0,80.73,93.64,104431.0,87613.0,80648.0,122171.0,37940.0,25276.0,223019.0,235060.0,-9.62,12.91,TMC to BJP,Flipped
120,DEGANGA,North 24 Parganas,North 24 Parganas,GEN,TMC,TMC,RAHIMA MONDAL,Anisur Rahaman Bidesh,32537,17818.0,15.18,7.63,242652,240229.0,88.35,97.19,100105.0,101114.0,38446.0,41726.0,73729.0,88315.0,212280.0,231155.0,-1.0,8.84,Held,Held
121,HAROA,North 24 Parganas,North 24 Parganas,GEN,TMC,TMC,ISLAM SK NURUL (HAJI),Abdul Matin Muhammad,80978,49341.0,35.61,20.78,259206,243479.0,87.73,97.53,130398.0,117591.0,38506.0,41144.0,55561.0,75897.0,224465.0,234632.0,-6.07,9.8,Held,Held
122,MINAKHAN,North 24 Parganas,North 24 Parganas,SC,TMC,TMC,USHA RANI MONDAL,Usha Rani Mondal,55830,32292.0,26.29,14.96,236528,222038.0,89.78,97.21,109818.0,92079.0,53988.0,59787.0,44606.0,61366.0,208412.0,213232.0,-6.13,7.43,Held,Held
123,SANDESHKHALI,North 24 Parganas,North 24 Parganas,ST,TMC,BJP,SUKUMAR MAHATA,Sanat Sardar,39685,17510.0,19.28,8.1,238633,223320.0,86.24,96.8,112450.0,89679.0,72765.0,107189.0,18116.0,17120.0,203331.0,213988.0,-6.42,10.56,TMC to BJP,Flipped
124,BASIRHAT DAKSHIN,North 24 Parganas,North 24 Parganas,GEN,TMC,TMC,DR. SAPTARSHI BANERJEE,Surajit Mitra (badal),24468,9544.0,10.38,3.81,275934,260723.0,85.43,96.09,115873.0,112965.0,91405.0,103421.0,26770.0,32822.0,234048.0,249208.0,-5.51,10.66,Held,Held
125,BASIRHAT UTTAR,North 24 Parganas,North 24 Parganas,GEN,TMC,TMC,RAFIKUL ISLAM MONDAL,Md. Tauseffur Rahman,89351,57270.0,37.48,24.01,268034,245638.0,88.95,97.12,137216.0,115503.0,47505.0,55211.0,51753.0,66165.0,236474.0,236879.0,-8.36,8.17,Held,Held
126,HINGALGANJ,North 24 Parganas,North 24 Parganas,SC,TMC,BJP,DEBES MANDAL,Rekha Patra,24916,5421.0,12.8,2.62,228508,215357.0,85.2,96.15,104706.0,94786.0,79790.0,100207.0,8449.0,10418.0,192945.0,205411.0,-5.76,10.95,TMC to BJP,Flipped
127,GOSABA,South 24 Parganas,South 24 Parganas,SC,TMC,BJP,JAYANTA NASKAR,Bikarna Naskar,23709,16100.0,12.11,7.62,230348,221427.0,85.01,95.44,105723.0,92392.0,82014.0,108492.0,7054.0,8223.0,194791.0,209107.0,-3.87,10.43,TMC to BJP,Flipped
128,BASANTI,South 24 Parganas,South 24 Parganas,SC,TMC,TMC,SHYAMAL MONDAL,Nilima Mistry Bishal,50642,56181.0,23.67,24.23,260681,240362.0,82.06,96.46,111453.0,127495.0,60811.0,71314.0,39739.0,31649.0,212003.0,230458.0,-7.79,14.4,Held,Held
129,KULTALI,South 24 Parganas,South 24 Parganas,SC,TMC,TMC,Ganesh Chandra Mondal,Ganesh Chandra Mondal,47177,59276.0,20.75,23.38,265561,261761.0,85.61,96.86,117238.0,146435.0,70061.0,87159.0,39004.0,18487.0,226303.0,252081.0,-1.43,11.25,Held,Held
130,PATHARPRATIMA,South 24 Parganas,South 24 Parganas,GEN,TMC,TMC,SAMIR KUMAR JANA,Samir Kumar Jana,22134,4873.0,9.55,1.98,263675,257862.0,87.91,95.42,120181.0,117164.0,98047.0,112291.0,12344.0,15560.0,230572.0,245015.0,-2.2,7.51,Held,Held
131,KAKDWIP,South 24 Parganas,South 24 Parganas,GEN,TMC,BJP,MANTURAM PAKHIRA,Dipankar Jana,25302,4760.0,11.52,2.06,247826,241891.0,88.61,95.62,114493.0,104613.0,89191.0,109373.0,14890.0,16152.0,218574.0,230138.0,-2.39,7.01,TMC to BJP,Flipped
132,SAGAR,South 24 Parganas,South 24 Parganas,GEN,TMC,BJP,BANKIM CHANDRA HAZRA,Sumanta Mandal,29846,7881.0,12.48,3.05,274715,274488.0,87.02,94.03,129000.0,119921.0,99154.0,127802.0,9888.0,9784.0,238042.0,257507.0,-0.08,7.01,TMC to BJP,Flipped
133,KULPI,South 24 Parganas,South 24 Parganas,GEN,TMC,TMC,JOGARANJAN HALDER,Barnali Dhara,33818,10383.0,17.51,5.0,220144,216699.0,87.73,95.85,96577.0,91266.0,62759.0,80883.0,32109.0,34179.0,191445.0,206328.0,-1.56,8.12,Held,Held
134,RAIDIGHI,South 24 Parganas,South 24 Parganas,GEN,TMC,TMC,ALOKE JALDATA,Tapas Mondal S/o-shibprasad Mondal,35568,5957.0,14.9,2.31,273558,267926.0,87.26,96.21,115707.0,118991.0,80139.0,113034.0,41412.0,24596.0,237258.0,256621.0,-2.06,8.95,Held,Held
135,MANDIRBAZAR,South 24 Parganas,South 24 Parganas,SC,TMC,TMC,JOYDEB HALDER,Joydeb Halder S/o - Kartick Chandra Halder,23492,1995.0,11.78,0.94,229129,222142.0,87.06,95.99,95834.0,93686.0,72342.0,91691.0,29492.0,26816.0,197668.0,212193.0,-3.05,8.93,Held,Held
136,JAYNAGAR,South 24 Parganas,South 24 Parganas,SC,TMC,TMC,BISWANATH DAS,Biswanath Das,38683,26350.0,19.11,12.03,239968,227343.0,84.36,96.38,104952.0,108194.0,66269.0,81844.0,30046.0,28166.0,201267.0,218204.0,-5.26,12.02,Held,Held
137,BARUIPUR PURBA,South 24 Parganas,South 24 Parganas,SC,TMC,TMC,BIVAS SARDAR (VOBO),Bivas Sardar,49641,31815.0,22.05,13.41,265091,245159.0,84.92,96.8,123243.0,120987.0,73602.0,89172.0,26414.0,25477.0,223259.0,235636.0,-7.52,11.88,Held,Held
138,CANNING PASCHIM,South 24 Parganas,South 24 Parganas,SC,TMC,TMC,Paresh Ram Das,Paresh Ram Das,35243,40665.0,16.14,17.63,257681,238344.0,84.74,96.79,111059.0,120548.0,75816.0,79883.0,28447.0,27887.0,215322.0,228318.0,-7.5,12.05,Held,Held
139,CANNING PURBA,South 24 Parganas,South 24 Parganas,GEN,TMC,TMC,SAOKAT MOLLA,Md Baharul Islam,53007,91954.0,22.77,38.05,262349,246698.0,88.72,97.96,122301.0,148687.0,34503.0,28593.0,73695.0,62760.0,230499.0,240040.0,-5.97,9.24,Held,Held
140,BARUIPUR PASCHIM,South 24 Parganas,South 24 Parganas,GEN,TMC,TMC,BIMAN BANERJEE,Biman Banerjee,61910,17862.0,29.3,8.08,253749,233239.0,83.27,94.77,121006.0,104781.0,59096.0,86919.0,29655.0,28221.0,209757.0,219921.0,-8.08,11.5,Held,Held
141,MAGRAHAT PURBA,South 24 Parganas,South 24 Parganas,SC,TMC,TMC,NAMITA SAHA,Sarmistha Purkait,54079,31607.0,26.23,14.23,242530,232718.0,85.0,95.47,110945.0,108412.0,56866.0,76805.0,36862.0,36103.0,204673.0,221320.0,-4.05,10.47,Held,Held
142,MAGRAHAT PASCHIM,South 24 Parganas,South 24 Parganas,GEN,TMC,TMC,GIAS UDDIN MOLLA,Md. Samim Ahamed Molla,46941,58503.0,24.16,28.49,229437,217102.0,84.68,94.59,97006.0,113834.0,50065.0,55331.0,44925.0,35067.0,191996.0,204232.0,-5.38,9.91,Held,Held
143,DIAMOND HARBOUR,South 24 Parganas,South 24 Parganas,GEN,TMC,TMC,PANNALAL HALDER,Panna Lal Halder,16996,31266.0,7.54,13.46,255132,245251.0,88.35,94.69,98478.0,119320.0,81482.0,88054.0,43988.0,23485.0,223948.0,230859.0,-3.87,6.34,Held,Held
145,SATGACHHIA,South 24 Parganas,South 24 Parganas,GEN,TMC,BJP,MOHAN CHANDRA NASKAR,Agniswar Naskar,23318,401.0,9.9,0.17,270193,256303.0,87.18,93.39,118635.0,110622.0,95317.0,111023.0,20217.0,16071.0,234169.0,237716.0,-5.14,6.21,TMC to BJP,Flipped
146,BISHNUPUR,South 24 Parganas,South 24 Parganas,SC,TMC,TMC,DILIP MONDAL,Dilip Mondal,58832,36925.0,24.76,14.74,278650,268346.0,85.26,93.38,136509.0,132647.0,77677.0,95722.0,21521.0,20555.0,235707.0,248924.0,-3.7,8.12,Held,Held
147,SONARPUR DAKSHIN,South 24 Parganas,South 24 Parganas,GEN,TMC,BJP,ARUNDHUTI MAITRA (LOVELY),Rupa Ganguly,26181,35782.0,11.25,14.52,288263,261143.0,80.76,94.35,109222.0,93188.0,83041.0,128970.0,37994.0,22285.0,230257.0,244443.0,-9.41,13.59,TMC to BJP,Flipped
148,BHANGAR,South 24 Parganas,South 24 Parganas,GEN,RSSCMJP,AISF,MD. NAWSAD SIDDIQUE,Md Nawsad Siddique,26151,32088.0,10.8,12.0,271897,272748.0,89.07,98.04,83086.0,94467.0,38726.0,30177.0,117130.0,141155.0,238942.0,265799.0,0.31,8.97,RSSCMJP to AISF,Flipped
149,KASBA,South 24 Parganas,South 24 Parganas,GEN,TMC,TMC,AHMED JAVED KHAN,Ahmed Javed Khan,63622,20974.0,28.51,8.7,306266,265693.0,72.86,90.78,121372.0,117893.0,57750.0,96919.0,41556.0,24492.0,220678.0,239304.0,-13.25,17.92,Held,Held
150,JADAVPUR,South 24 Parganas,South 24 Parganas,GEN,TMC,BJP,DEBABRATA MAJUMDAR (MALAY),Sarbori Mukherjee,38869,27716.0,18.04,11.99,299818,260915.0,71.85,88.56,98100.0,78483.0,53139.0,106199.0,61450.0,44417.0,212689.0,229099.0,-12.98,16.71,TMC to BJP,Flipped
151,SONARPUR UTTAR,South 24 Parganas,South 24 Parganas,GEN,TMC,BJP,FIRDOUSI BEGUM,Debasish Dhar,36090,9807.0,15.01,3.82,300330,273312.0,80.08,93.83,119957.0,110017.0,83867.0,119824.0,34557.0,25004.0,238381.0,254845.0,-9.0,13.75,TMC to BJP,Flipped
152,TOLLYGANJ,South 24 Parganas,South 24 Parganas,GEN,TMC,BJP,AROOP BISWAS,Papia Adhikary,50080,6013.0,25.37,2.92,269713,230098.0,73.18,89.38,101440.0,82394.0,51360.0,88407.0,42255.0,33359.0,195055.0,204160.0,-14.69,16.2,TMC to BJP,Flipped
153,BEHALA PURBA,South 24 Parganas,South 24 Parganas,GEN,TMC,BJP,Ratna Chatterjee,Sankar Sikder,37428,25137.0,16.87,10.71,308285,259876.0,71.97,90.31,110968.0,90365.0,73540.0,115502.0,34529.0,27185.0,219037.0,233052.0,-15.7,18.34,TMC to BJP,Flipped
154,BEHALA PASCHIM,South 24 Parganas,South 24 Parganas,GEN,TMC,BJP,PARTHA CHATTERJEE,Dr. Indranil Khan,50884,24699.0,21.95,10.34,313198,266349.0,74.02,89.66,114778.0,88472.0,63894.0,113171.0,50711.0,35669.0,229383.0,237312.0,-14.96,15.64,TMC to BJP,Flipped
155,MAHESHTALA,South 24 Parganas,South 24 Parganas,GEN,TMC,TMC,DULAL CHANDRA DAS,Subhasis Das,57949,32913.0,26.34,14.32,271007,243529.0,81.17,94.36,124008.0,116811.0,66059.0,83898.0,27853.0,27809.0,217920.0,228518.0,-10.14,13.19,Held,Held
156,BUDGE BUDGE,South 24 Parganas,South 24 Parganas,GEN,TMC,TMC,ASHOK KUMAR DEB,Ashok Kumar Deb,44714,46850.0,20.62,21.48,256136,230052.0,84.68,94.8,122357.0,127091.0,77643.0,80241.0,14157.0,8768.0,214157.0,216100.0,-10.18,10.12,Held,Held
157,METIABURUZ,South 24 Parganas,South 24 Parganas,GEN,TMC,TMC,ABDUL KHALEQUE MOLLA,Abdul Khaleque Molla,119604,87879.0,60.84,48.8,256315,189557.0,76.7,94.99,151066.0,124230.0,31462.0,36351.0,11046.0,17802.0,193574.0,178383.0,-26.05,18.29,Held,Held
158,KOLKATA PORT,Kolkata,Kolkata & Howrah,GEN,TMC,TMC,Firhad Hakim,Firhad Hakim,68554,56080.0,44.97,36.25,235933,171825.0,64.61,90.03,105543.0,101226.0,36989.0,45146.0,8551.0,7757.0,151083.0,154129.0,-27.17,25.42,Held,Held
159,BHABANIPUR,Kolkata,Kolkata & Howrah,GEN,TMC,BJP,Sobhandeb Chattopadhyay,Adhikari Suvendu,28719,15105.0,22.55,10.83,206389,160563.0,61.72,86.83,73505.0,58812.0,44786.0,73917.0,7515.0,5855.0,125806.0,138584.0,-22.2,25.11,TMC to BJP,Flipped
160,RASHBEHARI,Kolkata,Kolkata & Howrah,GEN,TMC,BJP,DEBASISH KUMAR,Dasgupta Swapan,21414,20865.0,17.21,15.03,206013,158586.0,60.41,87.53,65704.0,53258.0,44290.0,74123.0,12799.0,10137.0,122793.0,137518.0,-23.02,27.12,TMC to BJP,Flipped
161,BALLYGUNGE,Kolkata,Kolkata & Howrah,GEN,TMC,TMC,Subrata Mukherjee,Sobhandeb Chattopadhyay,75359,61476.0,49.92,36.73,247662,188988.0,60.95,88.57,106585.0,108481.0,31226.0,47005.0,11834.0,11079.0,149645.0,166565.0,-23.69,27.62,Held,Held
162,CHOWRANGEE,Kolkata,Kolkata & Howrah,GEN,TMC,TMC,BANDYOPADHYAY NAYNA,Bandyopadhyay Nayna,45344,22002.0,40.67,19.98,208201,126715.0,53.55,86.91,70101.0,62938.0,24757.0,40936.0,15423.0,5416.0,110281.0,109290.0,-39.14,33.36,Held,Held
163,ENTALLY,Kolkata,Kolkata & Howrah,GEN,TMC,TMC,Swarna Kamal Saha,Sandipan Saha,58257,34006.0,37.14,20.58,230814,179088.0,67.97,92.25,101709.0,94427.0,43452.0,60421.0,10722.0,9667.0,155883.0,164515.0,-22.41,24.28,Held,Held
164,BELEGHATA,Kolkata,Kolkata & Howrah,GEN,TMC,TMC,PARESH PAUL,Kunal Kumar Ghosh,67140,28576.0,42.36,16.41,250881,190746.0,63.18,91.28,103182.0,93757.0,36042.0,65181.0,17718.0,13602.0,156942.0,172540.0,-23.97,28.1,Held,Held
165,JORASANKO,Kolkata,Kolkata & Howrah,GEN,TMC,BJP,VIVEK GUPTA,Vijay Ojha,12743,5797.0,12.88,5.43,197950,122746.0,49.99,87.05,52123.0,47071.0,39380.0,52868.0,6424.0,6236.0,97927.0,106175.0,-37.99,37.06,TMC to BJP,Flipped
166,SHYAMPUKUR,Kolkata,Kolkata & Howrah,GEN,TMC,BJP,Dr. SHASHI PANJA,Purnima Chakraborty,22520,14633.0,21.87,12.53,176557,131890.0,58.32,88.53,55785.0,45615.0,33265.0,60248.0,12857.0,9963.0,101907.0,115826.0,-25.3,30.21,TMC to BJP,Flipped
167,MANIKTALA,Kolkata,Kolkata & Howrah,GEN,TMC,BJP,Sadhan Pande,Tapas Roy,20238,15644.0,15.22,10.38,211308,165961.0,62.93,90.82,67577.0,60726.0,47339.0,76370.0,16631.0,12568.0,131547.0,149664.0,-21.46,27.89,TMC to BJP,Flipped
168,KASHIPUR-BELGACHHIA,Kolkata,Kolkata & Howrah,GEN,TMC,BJP,Atin Ghosh,Ritesh Tiwari,35390,1651.0,26.24,1.1,223714,168019.0,60.29,89.6,76182.0,66717.0,40792.0,68368.0,16321.0,14207.0,133295.0,149292.0,-24.9,29.31,TMC to BJP,Flipped
169,BALLY,Howrah,Kolkata & Howrah,GEN,TMC,BJP,RANA CHATTERJEE,Sanjay Kumar Singh,6237,11997.0,4.95,10.18,176197,133780.0,71.44,88.08,53347.0,45642.0,47110.0,57639.0,24210.0,13633.0,124667.0,116914.0,-24.07,16.64,TMC to BJP,Flipped
170,HOWRAH UTTAR,Howrah,Kolkata & Howrah,GEN,TMC,BJP,GAUTAM CHOWDHURI,Umesh Rai,5522,11250.0,3.69,8.45,218547,150110.0,68.51,88.64,71575.0,56289.0,66053.0,67539.0,10422.0,8387.0,148050.0,132215.0,-31.31,20.13,TMC to BJP,Flipped
171,HOWRAH MADHYA,Howrah,Kolkata & Howrah,GEN,TMC,TMC,"Arup Roy, S/o Late Prabhat Roy",Arup Roy,46547,16083.0,23.85,8.31,266542,214910.0,73.21,90.02,111554.0,95948.0,65007.0,79865.0,15848.0,16536.0,192409.0,192349.0,-19.37,16.81,Held,Held
172,SHIBPUR,Howrah,Kolkata & Howrah,GEN,TMC,BJP,Manoj Tiwary,Rudranil Ghosh,32603,16058.0,17.89,8.86,233676,195103.0,77.98,92.94,92372.0,73557.0,59769.0,89615.0,28166.0,16851.0,180307.0,180023.0,-16.51,14.96,TMC to BJP,Flipped
173,HOWRAH DAKSHIN,Howrah,Kolkata & Howrah,GEN,TMC,TMC,NANDITA CHOWDHURY,Nandita Chowdhury,50569,7828.0,23.31,3.53,294243,240748.0,73.73,92.24,116839.0,100540.0,66270.0,92712.0,30883.0,27228.0,213992.0,220480.0,-18.18,18.51,Held,Held
174,SANKRAIL,Howrah,Kolkata & Howrah,SC,TMC,TMC,PRIYA PAUL,Priya Paul,40427,16740.0,18.2,7.3,277076,240335.0,80.17,95.37,111888.0,105412.0,71461.0,88672.0,36928.0,33357.0,220277.0,227441.0,-13.26,15.2,Held,Held
175,PANCHLA,Howrah,Kolkata & Howrah,GEN,TMC,TMC,GULSAN MULLICK,Gulsan Mullick,32751,38320.0,15.09,16.3,266183,248515.0,81.53,94.63,104572.0,123967.0,71821.0,85647.0,38205.0,23810.0,214598.0,233424.0,-6.64,13.1,Held,Held
176,ULUBERIA PURBA,Howrah,Kolkata & Howrah,GEN,TMC,TMC,BIDESH RANJAN BOSE,Ritabrata Banerjee,17126,11838.0,8.87,5.69,233764,218601.0,82.57,95.16,86526.0,95633.0,69400.0,83795.0,34984.0,27346.0,190910.0,206774.0,-6.49,12.59,Held,Held
